 ,Area,Mean,Min,Max
1,2.742,255,255,255
2,2.033,255,255,255
3,1.394,255,255,255
4,3.228,255,255,255
5,3.005,255,255,255
6,1.736,255,255,255
7,1.542,255,255,255
8,1.235,255,255,255
9,1.185,255,255,255
10,2.668,255,255,255
11,3.303,255,255,255
12,2.589,255,255,255
13,2.524,255,255,255
14,1.056,255,255,255
15,1.989,255,255,255
16,2.658,255,255,255
17,5.723,255,255,255
18,3.392,255,255,255
19,3.228,255,255,255
20,2.197,255,255,255
21,3.149,255,255,255
22,6.204,255,255,255
23,4.592,255,255,255
24,1.899,255,255,255
25,4.617,255,255,255
26,7.300,255,255,255
27,13.008,255,255,255
28,1.840,255,255,255
29,4.736,255,255,255
30,2.440,255,255,255
31,2.435,255,255,255
32,409.115,255,255,255
33,198.351,255,255,255
34,101.834,255,255,255
35,35.890,255,255,255
36,4.121,255,255,255
37,2.599,255,255,255
38,4.300,255,255,255
39,3.119,255,255,255
40,3.690,255,255,255
41,6.819,255,255,255
42,1.468,255,255,255
43,3.090,255,255,255
44,3.938,255,255,255
45,1.964,255,255,255
46,1.210,255,255,255
47,3.179,255,255,255
48,5.981,255,255,255
49,4.647,255,255,255
50,2.866,255,255,255
51,3.164,255,255,255
52,2.842,255,255,255
53,6.963,255,255,255
54,4.220,255,255,255
55,9.294,255,255,255
56,2.767,255,255,255
57,6.204,255,255,255
58,1.101,255,255,255
59,0.759,255,255,255
60,2.792,255,255,255
