 ,Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
386,13.365,5.747,2.961,129.564,0.796,6.214,2331,560,119.745,3.270,1.941,0.515,0.874
387,14.256,5.190,3.497,137.229,0.929,5.558,2370,560,123.690,3.791,1.484,0.674,0.919
388,37.570,7.158,6.683,147.291,0.910,8.019,2404,564,144.782,6.936,1.071,0.934,0.942
389,18.562,5.710,4.139,29.520,0.914,6.093,2446,571,34.695,4.498,1.380,0.725,0.912
390,178.199,21.527,10.540,33.279,0.648,23.205,2503,598,35.538,11.842,2.042,0.490,0.925
391,11.137,3.888,3.647,23.180,0.967,4.168,2565,569,33.690,3.815,1.066,0.938,0.909
392,9.355,4.060,2.934,162.920,0.983,4.308,2603,562,153.435,3.083,1.384,0.723,0.913
393,16.929,6.306,3.418,29.964,0.814,6.585,2678,569,20.556,3.741,1.845,0.542,0.887
394,9.801,4.466,2.794,149.419,0.898,4.704,2720,561,145.008,3.077,1.598,0.626,0.886
395,41.877,8.903,5.989,68.368,0.860,9.518,2761,583,68.629,6.462,1.486,0.673,0.938
396,38.461,8.015,6.110,48.222,0.851,8.660,2801,581,69.146,6.243,1.312,0.762,0.918
397,16.929,5.376,4.010,80.942,0.932,5.611,2839,560,105.945,3.854,1.341,0.746,0.934
398,23.760,6.759,4.476,87.011,0.822,7.199,2880,578,74.476,4.624,1.510,0.662,0.922
399,48.708,9.320,6.654,135.133,0.839,9.847,2909,567,149.421,6.947,1.401,0.714,0.923
400,16.186,5.304,3.886,88.675,0.946,5.517,2958,560,102.095,3.854,1.365,0.733,0.924
401,29.997,8.807,4.337,158.277,0.747,9.321,2988,562,150.255,4.688,2.031,0.492,0.908
402,158.746,19.140,10.560,47.301,0.785,19.893,3027,604,58.465,10.627,1.812,0.552,0.956
403,34.897,7.945,5.593,72.462,0.898,8.530,3071,581,71.565,5.780,1.421,0.704,0.940
404,81.378,12.811,8.088,150.784,0.804,12.879,3107,560,128.928,7.927,1.584,0.631,0.942
405,43.807,8.555,6.520,24.443,0.907,9.321,3144,575,29.745,6.936,1.312,0.762,0.942
406,29.997,7.058,5.411,129.557,0.892,7.482,3187,561,124.509,5.703,1.304,0.767,0.922
407,49.896,12.210,5.203,161.928,0.712,12.313,3218,564,159.864,5.558,2.347,0.426,0.927
408,29.403,6.831,5.481,100.762,0.902,7.106,3270,560,102.529,5.780,1.246,0.802,0.921
409,59.251,15.742,4.792,169.901,0.583,15.615,3291,562,164.249,5.114,3.285,0.304,0.921
410,22.275,6.940,4.086,84.854,0.867,7.106,3348,578,77.471,3.854,1.698,0.589,0.943
411,62.221,11.542,6.864,114.626,0.814,11.650,3380,562,124.216,7.159,1.682,0.595,0.929
412,39.798,9.458,5.358,179.638,0.794,9.634,3416,563,163.740,5.722,1.765,0.567,0.924
413,13.365,4.501,3.781,124.670,0.943,4.935,3462,561,128.660,3.854,1.190,0.840,0.909
414,58.509,9.891,7.531,61.005,0.888,10.525,3501,585,66.251,7.902,1.313,0.761,0.944
415,89.248,20.476,5.550,141.063,0.537,20.230,3525,562,139.635,6.060,3.690,0.271,0.879
416,5.346,4.040,1.685,2.312,0.792,4.023,104,564,16.699,1.541,2.398,0.417,0.960
417,4.009,2.564,1.991,27.561,0.993,3.010,379,566,39.806,1.927,1.288,0.777,0.947
418,16.038,5.643,3.619,81.240,0.822,5.982,964,576,75.069,3.801,1.559,0.641,0.893
419,38.164,8.774,5.538,116.692,0.758,9.749,1043,561,108.435,5.985,1.584,0.631,0.894
420,5.791,3.264,2.259,164.249,0.949,3.635,1120,561,147.995,2.312,1.444,0.692,0.907
421,6.682,3.684,2.310,139.254,0.866,4.096,1941,561,131.186,2.725,1.595,0.627,0.874
422,10.989,4.997,2.800,80.351,0.787,5.241,2490,574,72.897,3.083,1.784,0.560,0.876
423,140.629,16.380,10.931,151.910,0.665,17.976,2628,562,149.036,12.091,1.499,0.667,0.876
424,143.896,14.908,12.290,125.987,0.852,15.534,37,681,150.255,12.612,1.213,0.824,0.948
425,47.223,10.705,5.617,71.312,0.785,10.879,160,693,67.068,5.823,1.906,0.525,0.938
426,66.082,11.930,7.053,146.251,0.740,13.102,257,673,151.928,7.588,1.692,0.591,0.936
427,99.792,17.392,7.306,66.393,0.691,17.752,369,708,62.879,7.585,2.381,0.420,0.947
428,21.235,6.469,4.179,109.166,0.902,6.741,484,667,120.964,4.239,1.548,0.646,0.947
429,68.310,14.348,6.062,59.898,0.642,14.875,587,698,53.427,6.388,2.367,0.422,0.907
430,32.373,9.301,4.431,178.393,0.693,9.825,693,676,11.310,4.624,2.099,0.476,0.912
431,64.597,12.073,6.812,85.153,0.812,12.094,808,696,67.521,6.551,1.772,0.564,0.967
432,34.303,9.233,4.730,67.754,0.729,9.518,916,689,58.241,4.874,1.952,0.512,0.906
433,71.280,13.522,6.712,46.236,0.735,14.465,1017,694,41.760,7.085,2.015,0.496,0.941
434,62.221,9.869,8.028,176.554,0.888,10.283,1126,678,12.995,8.092,1.229,0.813,0.952
435,20.641,6.455,4.072,14.132,0.915,6.829,1239,676,16.390,4.239,1.585,0.631,0.933
436,51.678,12.164,5.409,171.021,0.705,12.623,1340,668,167.661,5.780,2.249,0.445,0.941
437,47.817,9.975,6.103,18.469,0.808,10.879,1451,682,22.932,6.551,1.634,0.612,0.943
438,30.591,10.300,3.781,34.494,0.612,10.658,1562,686,40.601,4.481,2.724,0.367,0.866
439,43.362,8.775,6.292,37.010,0.875,9.192,1671,683,33.024,6.733,1.395,0.717,0.937
440,31.036,9.685,4.080,16.421,0.690,10.115,1777,677,17.745,4.509,2.374,0.421,0.927
441,123.849,14.790,10.662,77.727,0.767,15.477,1889,667,108.886,11.376,1.387,0.721,0.913
442,23.166,6.143,4.801,163.675,0.939,6.460,1998,673,162.646,5.010,1.279,0.782,0.929
443,10.395,4.046,3.271,165.007,0.968,4.394,2110,668,142.125,3.083,1.237,0.808,0.946
444,66.379,13.762,6.141,156.766,0.711,14.321,2206,669,156.194,6.376,2.241,0.446,0.935
445,52.420,10.214,6.534,70.380,0.851,10.525,2325,692,66.251,6.580,1.563,0.640,0.944
446,53.757,9.289,7.369,165.132,0.873,9.533,2428,675,165.964,7.707,1.261,0.793,0.937
447,27.027,7.856,4.381,56.762,0.829,8.129,2543,685,58.570,4.810,1.793,0.558,0.922
448,132.907,16.607,10.190,19.700,0.733,18.898,2634,693,20.283,11.329,1.630,0.614,0.946
449,23.760,7.872,3.843,12.480,0.752,7.944,2755,677,14.036,4.112,2.048,0.488,0.889
450,74.250,13.232,7.145,148.043,0.790,13.684,2859,672,147.653,7.695,1.852,0.540,0.947
451,63.558,12.275,6.593,89.156,0.822,11.965,2978,667,104.931,6.166,1.862,0.537,0.969
452,43.510,7.974,6.948,21.338,0.910,8.319,3080,677,13.392,7.268,1.148,0.871,0.933
453,32.521,7.060,5.865,54.483,0.876,7.944,3192,683,50.906,6.166,1.204,0.831,0.950
454,140.183,17.986,9.924,9.811,0.787,18.421,3284,687,15.781,10.405,1.812,0.552,0.950
455,125.928,13.102,12.237,152.832,0.904,13.722,3404,669,141.843,12.331,1.071,0.934,0.963
456,147.905,18.373,10.250,154.741,0.774,18.961,3504,669,142.431,10.410,1.793,0.558,0.948
457,53.311,10.607,6.400,3.802,0.683,11.720,56,779,170.538,7.707,1.657,0.603,0.899
458,49.599,8.884,7.108,70.397,0.909,9.192,138,797,56.976,7.197,1.250,0.800,0.945
459,18.414,7.814,3.001,49.996,0.695,7.944,213,792,50.906,3.270,2.604,0.384,0.895
460,55.093,10.962,6.399,70.403,0.779,11.902,285,804,60.945,6.936,1.713,0.584,0.946
461,68.755,10.434,8.390,167.782,0.883,11.222,354,784,164.055,8.871,1.244,0.804,0.945
462,43.362,9.504,5.809,96.222,0.865,9.533,440,776,104.036,5.780,1.636,0.611,0.947
463,91.624,12.754,9.147,167.256,0.791,14.305,500,781,152.745,9.249,1.394,0.717,0.940
464,63.261,9.825,8.198,171.509,0.865,10.603,578,781,160.907,8.789,1.198,0.834,0.944
465,40.540,10.516,4.908,100.509,0.743,10.749,660,776,104.534,5.194,2.143,0.467,0.922
466,143.450,15.581,11.723,25.260,0.747,18.405,717,809,19.573,12.543,1.329,0.752,0.935
467,12.771,5.684,2.861,70.658,0.756,6.032,810,790,63.435,3.168,1.987,0.503,0.896
468,61.479,10.811,7.240,90.788,0.877,10.961,885,776,100.125,7.322,1.493,0.670,0.950
469,4.752,2.714,2.230,55.341,0.936,3.107,959,783,60.255,2.312,1.217,0.822,0.914
470,38.610,7.678,6.403,154.744,0.899,8.487,1028,779,140.528,6.551,1.199,0.834,0.940
471,117.315,19.260,7.755,126.284,0.699,19.268,1096,777,126.870,8.092,2.484,0.403,0.948
472,153.251,17.747,10.995,173.642,0.825,17.947,1162,786,165.069,11.175,1.614,0.620,0.961
473,35.788,8.560,5.323,147.320,0.860,8.787,1250,777,142.125,5.703,1.608,0.622,0.925
474,17.077,7.686,2.829,19.063,0.665,7.755,1324,786,26.565,3.168,2.717,0.368,0.891
475,13.068,5.177,3.214,159.857,0.922,5.517,1401,777,155.225,3.468,1.611,0.621,0.921
476,10.098,4.395,2.925,176.752,0.891,4.656,1476,777,155.556,3.083,1.502,0.666,0.895
477,39.055,9.819,5.064,11.570,0.711,10.749,1542,790,14.534,5.512,1.939,0.516,0.918
478,23.017,7.471,3.923,21.111,0.835,7.755,1621,787,26.565,4.308,1.905,0.525,0.931
479,28.363,6.998,5.161,82.126,0.807,7.860,1705,796,78.690,5.395,1.356,0.737,0.923
480,16.335,5.171,4.022,39.582,0.899,5.729,1772,787,42.274,4.360,1.286,0.778,0.928
481,190.228,20.346,11.904,153.226,0.775,20.716,1827,787,161.565,12.425,1.709,0.585,0.952
482,18.562,7.541,3.134,5.940,0.722,7.571,1917,784,14.744,3.468,2.406,0.416,0.893
483,42.916,7.999,6.832,135.474,0.872,8.796,1991,781,151.189,7.066,1.171,0.854,0.940
484,70.686,14.247,6.317,23.682,0.693,14.148,2058,795,29.358,6.338,2.255,0.443,0.929
485,25.690,7.914,4.133,164.834,0.813,8.301,2288,777,158.199,4.486,1.915,0.522,0.920
486,19.602,6.533,3.820,7.853,0.865,6.585,2364,785,20.556,3.854,1.710,0.585,0.936
487,119.691,14.839,10.270,176.498,0.818,15.720,2426,793,11.310,10.972,1.445,0.692,0.939
488,7.276,3.358,2.759,80.168,0.943,3.656,2519,776,108.435,2.697,1.217,0.821,0.916
489,46.035,10.708,5.474,3.657,0.760,11.281,2654,784,7.853,5.780,1.956,0.511,0.931
490,64.003,11.549,7.056,13.537,0.825,11.593,2728,791,15.422,7.361,1.637,0.611,0.934
491,17.077,4.913,4.426,6.808,0.981,5.354,2811,786,30.256,4.239,1.110,0.901,0.950
492,21.681,6.193,4.458,8.735,0.888,6.730,2883,784,23.629,4.624,1.389,0.720,0.930
493,25.245,7.628,4.214,38.956,0.799,8.193,2957,790,41.186,4.632,1.810,0.552,0.924
494,16.632,5.258,4.028,147.819,0.867,5.870,3033,778,156.801,4.273,1.305,0.766,0.903
495,19.156,6.519,3.741,17.336,0.858,6.730,3106,785,23.629,3.964,1.742,0.574,0.918
496,17.226,6.027,3.639,155.214,0.838,6.226,3181,778,158.199,3.964,1.656,0.604,0.879
497,28.660,7.165,5.093,150.126,0.823,7.649,3255,778,139.086,5.515,1.407,0.711,0.926
498,9.949,4.424,2.863,15.978,0.948,4.656,3331,782,24.444,3.083,1.545,0.647,0.905
499,12.325,5.081,3.089,158.724,0.870,5.354,3405,777,149.744,3.447,1.645,0.608,0.902
500,18.711,5.163,4.614,55.720,0.988,5.558,3479,787,33.690,4.624,1.119,0.894,0.937
501,26.136,7.376,4.512,171.453,0.827,7.571,2140,779,165.256,4.767,1.635,0.612,0.917
502,12.919,5.075,3.241,149.806,0.882,5.477,2218,778,140.711,3.447,1.566,0.639,0.911
503,11.731,4.839,3.087,18.898,0.857,5.241,2588,784,17.103,3.412,1.568,0.638,0.888
504,9.207,3.828,3.062,31.228,0.877,4.308,3554,782,26.565,3.412,1.250,0.800,0.892
505,152.509,16.712,11.619,44.816,0.711,19.105,33,923,41.730,12.927,1.438,0.695,0.911
506,87.021,12.159,9.112,173.019,0.853,12.546,136,892,169.380,9.512,1.334,0.749,0.943
507,38.610,10.692,4.598,166.368,0.696,11.095,241,888,159.677,4.954,2.325,0.430,0.922
508,122.364,14.822,10.511,51.421,0.822,15.347,342,913,38.884,10.970,1.410,0.709,0.944
509,34.600,11.535,3.819,0.971,0.607,11.412,444,889,168.311,4.112,3.020,0.331,0.900
