 ,Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,12.500,5.222,3.048,52.447,0.748,5.817,105,143,48.366,3.237,1.714,0.584,0.964
2,3.938,2.417,2.074,30.767,0.868,2.568,382,124,41.186,2.155,1.165,0.858,0.934
3,10.371,3.716,3.553,35.619,0.834,4.058,649,135,53.471,3.623,1.046,0.956,0.936
4,7.876,4.342,2.310,3.326,0.757,4.527,906,119,9.211,2.415,1.880,0.532,0.948
5,10.852,3.929,3.517,151.654,0.914,4.036,1181,109,128.928,3.565,1.117,0.895,0.961
6,4.653,3.021,1.961,79.559,0.828,3.105,1459,132,76.504,2.050,1.541,0.649,0.937
7,51.912,11.184,5.910,177.917,0.603,12.275,1677,117,166.921,7.488,1.893,0.528,0.858
8,5.659,2.875,2.506,20.866,0.861,3.055,1982,124,18.435,2.593,1.147,0.872,0.937
9,23.090,7.021,4.187,29.335,0.811,7.415,2235,144,30.324,4.383,1.677,0.596,0.967
10,5.776,3.280,2.242,50.989,0.893,3.340,2518,128,40.601,2.306,1.463,0.683,0.947
11,22.783,7.458,3.890,44.048,0.755,7.738,2769,153,34.186,3.990,1.917,0.522,0.948
12,72.230,11.354,8.100,53.303,0.818,12.016,3027,187,50.711,8.475,1.402,0.713,0.980
13,15.797,6.016,3.343,20.024,0.763,6.058,3308,138,23.499,3.426,1.800,0.556,0.955
14,6.053,3.841,2.006,163.367,0.795,3.899,3582,112,163.811,2.174,1.914,0.522,0.937
15,53.298,8.834,7.682,138.030,0.866,9.487,91,317,148.536,7.738,1.150,0.870,0.975
16,17.532,5.476,4.077,0.574,0.862,5.722,172,316,7.275,4.227,1.343,0.744,0.960
17,7.089,3.719,2.427,178.238,0.813,3.838,249,308,167.276,2.657,1.532,0.653,0.928
18,9.204,4.496,2.607,4.192,0.814,4.599,315,316,13.671,2.657,1.725,0.580,0.954
19,11.406,5.663,2.565,38.372,0.701,5.863,382,330,32.381,2.778,2.208,0.453,0.939
20,5.193,3.355,1.971,35.901,0.815,3.521,460,319,30.964,2.118,1.702,0.587,0.918
21,4.697,3.196,1.871,63.311,0.844,3.364,535,325,68.962,1.998,1.708,0.585,0.943
22,155.546,19.110,10.364,53.644,0.775,19.768,555,436,54.951,10.600,1.844,0.542,0.983
23,3.705,2.816,1.675,37.043,0.864,2.924,669,315,38.290,1.782,1.681,0.595,0.939
24,12.194,4.689,3.311,179.370,0.834,5.023,728,323,9.689,3.382,1.416,0.706,0.953
25,31.083,8.476,4.669,2.408,0.791,8.622,851,326,11.310,4.710,1.815,0.551,0.970
26,5.586,4.005,1.776,18.502,0.733,4.108,940,315,24.305,1.904,2.256,0.443,0.932
27,4.303,2.833,1.934,20.253,0.884,2.921,1014,315,29.745,2.050,1.464,0.683,0.941
28,7.731,3.425,2.874,59.804,0.911,3.585,1085,325,57.381,2.989,1.191,0.839,0.952
29,35.298,8.169,5.502,16.484,0.747,9.487,1126,330,21.666,5.798,1.485,0.674,0.963
30,15.490,5.022,3.928,5.021,0.764,5.595,1209,318,13.736,4.348,1.279,0.782,0.955
31,1.925,1.934,1.267,173.931,0.903,2.025,1293,301,162.646,1.329,1.526,0.655,0.920
32,21.762,5.786,4.789,117.883,0.872,5.996,1358,301,124.330,4.807,1.208,0.828,0.961
33,13.215,5.079,3.313,174.585,0.851,5.244,1417,309,172.057,3.382,1.533,0.652,0.960
34,8.183,4.715,2.210,4.841,0.749,4.690,1489,314,11.889,2.295,2.133,0.469,0.950
35,30.602,7.831,4.976,174.055,0.764,8.558,1542,315,171.069,5.314,1.574,0.635,0.966
36,30.689,8.903,4.389,171.985,0.732,8.977,1622,316,169.144,4.482,2.029,0.493,0.962
37,11.450,4.732,3.081,175.760,0.829,4.988,1695,310,173.047,3.261,1.536,0.651,0.952
38,5.557,3.499,2.022,175.031,0.802,3.641,1769,309,174.289,2.124,1.730,0.578,0.927
39,1.969,1.769,1.417,42.019,0.934,1.910,1847,311,34.695,1.537,1.248,0.801,0.934
40,2.159,1.909,1.440,97.356,0.877,2.010,1918,300,122.735,1.449,1.326,0.754,0.919
41,9.218,4.514,2.600,146.009,0.804,4.546,1976,302,140.389,2.681,1.736,0.576,0.938
42,29.537,6.642,5.662,175.729,0.817,7.089,2032,342,13.799,5.962,1.173,0.853,0.960
43,8.460,4.229,2.547,33.174,0.734,4.423,2114,325,34.992,2.647,1.661,0.602,0.932
44,14.790,6.069,3.103,136.295,0.770,6.151,2179,301,136.591,3.211,1.956,0.511,0.951
45,14.747,4.503,4.169,50.478,0.922,4.662,2251,329,36.573,4.227,1.080,0.926,0.964
46,3.924,3.422,1.460,46.998,0.705,3.591,2327,322,47.726,1.623,2.344,0.427,0.917
47,46.457,11.233,5.266,19.191,0.661,12.386,2359,347,23.565,5.729,2.133,0.469,0.970
48,8.664,4.344,2.540,167.187,0.848,4.396,2458,304,159.075,2.562,1.710,0.585,0.957
49,4.770,3.744,1.622,19.435,0.693,3.902,2529,315,21.801,1.757,2.309,0.433,0.921
50,5.397,3.431,2.003,140.702,0.834,3.552,2601,303,144.689,2.110,1.713,0.584,0.941
51,36.801,7.682,6.100,36.987,0.874,7.873,2658,352,41.269,6.163,1.259,0.794,0.972
52,8.416,3.678,2.914,99.611,0.922,3.750,2748,299,104.931,2.899,1.262,0.792,0.959
53,7.833,3.515,2.837,39.399,0.898,3.681,2807,322,41.009,2.989,1.239,0.807,0.955
54,39.835,8.012,6.331,9.118,0.820,8.711,2855,337,16.928,6.746,1.265,0.790,0.958
55,2.261,1.950,1.476,157.424,0.933,2.064,2950,304,159.444,1.566,1.321,0.757,0.928
56,4.405,2.653,2.114,95.908,0.895,2.788,3022,321,72.350,2.053,1.255,0.797,0.947
57,1.648,2.016,1.041,109.590,0.752,2.220,3093,299,112.380,1.184,1.937,0.516,0.897
58,21.237,6.033,4.482,45.600,0.889,6.164,3149,342,55.376,4.526,1.346,0.743,0.968
59,8.664,3.993,2.762,0.299,0.880,4.051,3218,307,169.695,2.778,1.446,0.692,0.954
60,14.586,5.223,3.556,53.086,0.854,5.393,3292,337,55.954,3.676,1.469,0.681,0.954
61,29.902,6.960,5.470,2.195,0.878,7.227,3343,320,9.620,5.556,1.272,0.786,0.970
62,6.928,3.278,2.691,23.369,0.936,3.461,3429,318,29.249,2.778,1.218,0.821,0.962
63,2.523,1.967,1.634,113.107,0.832,2.109,3509,316,76.759,1.691,1.204,0.831,0.899
64,8.781,4.573,2.445,177.870,0.796,4.629,3561,307,172.504,2.536,1.870,0.535,0.947
65,73.222,12.274,7.595,155.115,0.792,12.138,773,352,148.841,7.544,1.616,0.619,0.968
66,19.545,6.091,4.085,167.474,0.826,6.504,113,528,158.199,4.106,1.491,0.671,0.969
67,7.774,4.181,2.367,29.666,0.821,4.255,189,546,34.592,2.431,1.766,0.566,0.947
68,5.309,3.486,1.939,158.196,0.795,3.410,256,527,157.068,2.012,1.798,0.556,0.919
69,4.828,2.964,2.074,144.897,0.873,3.093,388,526,141.340,2.188,1.429,0.700,0.939
70,1.882,1.612,1.486,161.035,0.943,1.742,458,527,146.310,1.566,1.085,0.922,0.915
71,11.625,4.041,3.662,131.422,0.817,4.429,520,523,101.004,3.885,1.103,0.906,0.943
72,3.515,2.219,2.017,25.882,0.892,2.490,586,539,39.094,2.053,1.100,0.909,0.938
73,2.348,2.396,1.248,174.698,0.800,2.463,650,528,168.690,1.329,1.920,0.521,0.912
74,2.334,1.816,1.636,151.275,0.973,1.947,721,523,119.745,1.682,1.110,0.901,0.941
75,11.056,5.262,2.675,0.463,0.763,5.336,768,533,174.806,2.778,1.967,0.508,0.948
76,5.645,3.901,1.843,40.157,0.743,4.022,844,549,48.652,1.943,2.117,0.472,0.930
77,22.565,8.248,3.483,170.436,0.670,8.355,886,539,175.855,3.600,2.368,0.422,0.960
78,16.541,6.634,3.175,35.341,0.730,6.901,962,557,32.856,3.383,2.090,0.479,0.950
79,29.172,7.415,5.009,56.257,0.705,8.577,1039,584,57.653,5.565,1.480,0.676,0.943
80,9.043,4.268,2.698,24.100,0.706,5.047,1162,542,21.038,3.070,1.582,0.632,0.920
81,33.023,10.236,4.108,3.247,0.635,10.696,1268,553,6.483,4.344,2.492,0.401,0.958
82,1.823,1.770,1.312,36.921,0.855,1.947,1370,534,29.745,1.458,1.349,0.741,0.899
83,3.705,2.399,1.966,1.423,0.906,2.522,1433,526,163.301,2.052,1.220,0.819,0.930
84,2.217,2.103,1.343,8.935,0.869,2.140,1499,531,16.390,1.427,1.566,0.639,0.907
85,3.486,2.928,1.516,26.706,0.813,3.027,1562,538,28.610,1.620,1.932,0.518,0.934
86,6.330,3.218,2.505,171.246,0.861,3.369,1625,535,14.534,2.536,1.285,0.779,0.946
87,3.107,2.609,1.516,3.237,0.845,2.673,1693,533,18.435,1.570,1.720,0.581,0.930
88,15.607,5.077,3.914,69.639,0.823,5.450,1823,567,77.196,4.219,1.297,0.771,0.954
89,1.721,1.530,1.432,24.008,0.863,1.729,1895,536,65.225,1.512,1.068,0.936,0.891
90,2.450,1.845,1.691,168.786,0.985,1.951,2022,528,158.199,1.691,1.091,0.917,0.941
91,3.617,3.057,1.507,9.213,0.782,3.055,2083,535,18.435,1.606,2.029,0.493,0.920
92,8.095,4.237,2.433,20.885,0.818,4.218,2144,542,23.629,2.474,1.741,0.574,0.945
93,2.100,1.828,1.463,175.684,0.899,1.951,2218,528,158.199,1.570,1.249,0.801,0.911
94,40.681,7.489,6.916,66.051,0.812,8.124,2277,590,78.857,7.181,1.083,0.924,0.963
95,6.885,3.878,2.260,167.618,0.794,3.912,2340,533,171.119,2.357,1.716,0.583,0.939
96,20.479,5.379,4.848,122.218,0.865,5.692,2416,523,107.281,4.929,1.110,0.901,0.965
97,70.305,11.074,8.083,160.776,0.865,11.371,2573,544,157.521,8.480,1.370,0.730,0.980
98,7.045,3.507,2.558,1.957,0.912,3.517,2668,538,15.945,2.536,1.371,0.729,0.955
99,33.110,8.283,5.090,46.601,0.761,8.763,2725,588,60.255,5.066,1.627,0.615,0.946
100,23.892,7.021,4.333,20.972,0.776,7.616,2782,558,14.697,4.676,1.620,0.617,0.960
101,12.821,5.171,3.157,164.800,0.813,5.347,2922,535,161.565,3.336,1.638,0.610,0.963
