Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
64.597,12.073,6.812,85.153,0.812,12.094,808,696,67.521,6.551,1.772,0.564,0.967
34.303,9.233,4.73,67.754,0.729,9.518,916,689,58.241,4.874,1.952,0.512,0.906
71.28,13.522,6.712,46.236,0.735,14.465,1017,694,41.76,7.085,2.015,0.496,0.941
62.221,9.869,8.028,176.554,0.888,10.283,1126,678,12.995,8.092,1.229,0.813,0.952
20.641,6.455,4.072,14.132,0.915,6.829,1239,676,16.39,4.239,1.585,0.631,0.933
51.678,12.164,5.409,171.021,0.705,12.623,1340,668,167.661,5.78,2.249,0.445,0.941
47.817,9.975,6.103,18.469,0.808,10.879,1451,682,22.932,6.551,1.634,0.612,0.943
30.591,10.3,3.781,34.494,0.612,10.658,1562,686,40.601,4.481,2.724,0.367,0.866
43.362,8.775,6.292,37.01,0.875,9.192,1671,683,33.024,6.733,1.395,0.717,0.937
31.036,9.685,4.08,16.421,0.69,10.115,1777,677,17.745,4.509,2.374,0.421,0.927
123.849,14.79,10.662,77.727,0.767,15.477,1889,667,108.886,11.376,1.387,0.721,0.913
23.166,6.143,4.801,163.675,0.939,6.46,1998,673,162.646,5.01,1.279,0.782,0.929
10.395,4.046,3.271,165.007,0.968,4.394,2110,668,142.125,3.083,1.237,0.808,0.946
66.379,13.762,6.141,156.766,0.711,14.321,2206,669,156.194,6.376,2.241,0.446,0.935
52.42,10.214,6.534,70.38,0.851,10.525,2325,692,66.251,6.58,1.563,0.64,0.944
53.757,9.289,7.369,165.132,0.873,9.533,2428,675,165.964,7.707,1.261,0.793,0.937
27.027,7.856,4.381,56.762,0.829,8.129,2543,685,58.57,4.81,1.793,0.558,0.922
132.907,16.607,10.19,19.7,0.733,18.898,2634,693,20.283,11.329,1.63,0.614,0.946
23.76,7.872,3.843,12.48,0.752,7.944,2755,677,14.036,4.112,2.048,0.488,0.889
74.25,13.232,7.145,148.043,0.79,13.684,2859,672,147.653,7.695,1.852,0.54,0.947
63.558,12.275,6.593,89.156,0.822,11.965,2978,667,104.931,6.166,1.862,0.537,0.969
43.51,7.974,6.948,21.338,0.91,8.319,3080,677,13.392,7.268,1.148,0.871,0.933
32.521,7.06,5.865,54.483,0.876,7.944,3192,683,50.906,6.166,1.204,0.831,0.95
140.183,17.986,9.924,9.811,0.787,18.421,3284,687,15.781,10.405,1.812,0.552,0.95
125.928,13.102,12.237,152.832,0.904,13.722,3404,669,141.843,12.331,1.071,0.934,0.963
147.905,18.373,10.25,154.741,0.774,18.961,3504,669,142.431,10.41,1.793,0.558,0.948
53.311,10.607,6.4,3.802,0.683,11.72,56,779,170.538,7.707,1.657,0.603,0.899
49.599,8.884,7.108,70.397,0.909,9.192,138,797,56.976,7.197,1.25,0.8,0.945
18.414,7.814,3.001,49.996,0.695,7.944,213,792,50.906,3.27,2.604,0.384,0.895
55.093,10.962,6.399,70.403,0.779,11.902,285,804,60.945,6.936,1.713,0.584,0.946
68.755,10.434,8.39,167.782,0.883,11.222,354,784,164.055,8.871,1.244,0.804,0.945
43.362,9.504,5.809,96.222,0.865,9.533,440,776,104.036,5.78,1.636,0.611,0.947
91.624,12.754,9.147,167.256,0.791,14.305,500,781,152.745,9.249,1.394,0.717,0.94
63.261,9.825,8.198,171.509,0.865,10.603,578,781,160.907,8.789,1.198,0.834,0.944
40.54,10.516,4.908,100.509,0.743,10.749,660,776,104.534,5.194,2.143,0.467,0.922
143.45,15.581,11.723,25.26,0.747,18.405,717,809,19.573,12.543,1.329,0.752,0.935
12.771,5.684,2.861,70.658,0.756,6.032,810,790,63.435,3.168,1.987,0.503,0.896
61.479,10.811,7.24,90.788,0.877,10.961,885,776,100.125,7.322,1.493,0.67,0.95
4.752,2.714,2.23,55.341,0.936,3.107,959,783,60.255,2.312,1.217,0.822,0.914
38.61,7.678,6.403,154.744,0.899,8.487,1028,779,140.528,6.551,1.199,0.834,0.94
117.315,19.26,7.755,126.284,0.699,19.268,1096,777,126.87,8.092,2.484,0.403,0.948
153.251,17.747,10.995,173.642,0.825,17.947,1162,786,165.069,11.175,1.614,0.62,0.961
35.788,8.56,5.323,147.32,0.86,8.787,1250,777,142.125,5.703,1.608,0.622,0.925
17.077,7.686,2.829,19.063,0.665,7.755,1324,786,26.565,3.168,2.717,0.368,0.891
13.068,5.177,3.214,159.857,0.922,5.517,1401,777,155.225,3.468,1.611,0.621,0.921
10.098,4.395,2.925,176.752,0.891,4.656,1476,777,155.556,3.083,1.502,0.666,0.895
39.055,9.819,5.064,11.57,0.711,10.749,1542,790,14.534,5.512,1.939,0.516,0.918
23.017,7.471,3.923,21.111,0.835,7.755,1621,787,26.565,4.308,1.905,0.525,0.931
28.363,6.998,5.161,82.126,0.807,7.86,1705,796,78.69,5.395,1.356,0.737,0.923
16.335,5.171,4.022,39.582,0.899,5.729,1772,787,42.274,4.36,1.286,0.778,0.928
190.228,20.346,11.904,153.226,0.775,20.716,1827,787,161.565,12.425,1.709,0.585,0.952
18.562,7.541,3.134,5.94,0.722,7.571,1917,784,14.744,3.468,2.406,0.416,0.893
42.916,7.999,6.832,135.474,0.872,8.796,1991,781,151.189,7.066,1.171,0.854,0.94
70.686,14.247,6.317,23.682,0.693,14.148,2058,795,29.358,6.338,2.255,0.443,0.929
25.69,7.914,4.133,164.834,0.813,8.301,2288,777,158.199,4.486,1.915,0.522,0.92
19.602,6.533,3.82,7.853,0.865,6.585,2364,785,20.556,3.854,1.71,0.585,0.936
119.691,14.839,10.27,176.498,0.818,15.72,2426,793,11.31,10.972,1.445,0.692,0.939
7.276,3.358,2.759,80.168,0.943,3.656,2519,776,108.435,2.697,1.217,0.821,0.916
46.035,10.708,5.474,3.657,0.76,11.281,2654,784,7.853,5.78,1.956,0.511,0.931
64.003,11.549,7.056,13.537,0.825,11.593,2728,791,15.422,7.361,1.637,0.611,0.934
17.077,4.913,4.426,6.808,0.981,5.354,2811,786,30.256,4.239,1.11,0.901,0.95
21.681,6.193,4.458,8.735,0.888,6.73,2883,784,23.629,4.624,1.389,0.72,0.93
25.245,7.628,4.214,38.956,0.799,8.193,2957,790,41.186,4.632,1.81,0.552,0.924
16.632,5.258,4.028,147.819,0.867,5.87,3033,778,156.801,4.273,1.305,0.766,0.903
19.156,6.519,3.741,17.336,0.858,6.73,3106,785,23.629,3.964,1.742,0.574,0.918
17.226,6.027,3.639,155.214,0.838,6.226,3181,778,158.199,3.964,1.656,0.604,0.879
28.66,7.165,5.093,150.126,0.823,7.649,3255,778,139.086,5.515,1.407,0.711,0.926
9.949,4.424,2.863,15.978,0.948,4.656,3331,782,24.444,3.083,1.545,0.647,0.905
12.325,5.081,3.089,158.724,0.87,5.354,3405,777,149.744,3.447,1.645,0.608,0.902
18.711,5.163,4.614,55.72,0.988,5.558,3479,787,33.69,4.624,1.119,0.894,0.937
26.136,7.376,4.512,171.453,0.827,7.571,2140,779,165.256,4.767,1.635,0.612,0.917
12.919,5.075,3.241,149.806,0.882,5.477,2218,778,140.711,3.447,1.566,0.639,0.911
11.731,4.839,3.087,18.898,0.857,5.241,2588,784,17.103,3.412,1.568,0.638,0.888
9.207,3.828,3.062,31.228,0.877,4.308,3554,782,26.565,3.412,1.25,0.8,0.892
152.509,16.712,11.619,44.816,0.711,19.105,33,923,41.73,12.927,1.438,0.695,0.911
87.021,12.159,9.112,173.019,0.853,12.546,136,892,169.38,9.512,1.334,0.749,0.943
38.61,10.692,4.598,166.368,0.696,11.095,241,888,159.677,4.954,2.325,0.43,0.922
122.364,14.822,10.511,51.421,0.822,15.347,342,913,38.884,10.97,1.41,0.709,0.944
34.6,11.535,3.819,0.971,0.607,11.412,444,889,168.311,4.112,3.02,0.331,0.9
124.443,17.921,8.842,19.911,0.69,19.268,537,904,16.26,9.659,2.027,0.493,0.917
27.621,9.12,3.856,11.455,0.738,9.265,651,894,16.928,4.206,2.365,0.423,0.925
58.954,14.451,5.194,14.841,0.585,15.049,848,897,13.325,5.853,2.782,0.359,0.879
46.777,12.623,4.718,160.16,0.63,13.17,953,887,159.444,5.295,2.675,0.374,0.908
27.027,10.549,3.262,12.777,0.59,10.483,1058,895,17.103,3.552,3.234,0.309,0.897
37.867,8.973,5.373,19.596,0.811,9.408,1164,901,34.992,5.514,1.67,0.599,0.922
74.695,12.946,7.346,9.597,0.725,13.684,1258,903,9.728,8.673,1.762,0.567,0.898
153.548,18.772,10.414,37.921,0.767,19.987,1356,915,33.996,11.202,1.803,0.555,0.953
200.474,19.857,12.855,177.977,0.776,20.859,1455,892,154.855,12.851,1.545,0.647,0.961
31.927,11.128,3.653,34.957,0.623,11.255,1570,904,38.047,3.955,3.046,0.328,0.896
50.193,11.162,5.726,33.869,0.727,12.186,1671,904,34.695,6.306,1.949,0.513,0.931
49.45,9.831,6.404,9.541,0.85,10.004,1773,899,15.642,6.636,1.535,0.651,0.934
36.976,8.449,5.572,34.596,0.76,9.281,2085,902,41.634,6.463,1.516,0.66,0.909
62.518,12.184,6.533,29.144,0.73,12.599,2179,908,23.429,7.066,1.865,0.536,0.922
21.681,5.413,5.1,74.007,0.936,5.831,2297,885,97.595,5.01,1.061,0.942,0.921
18.117,6.712,3.437,62.171,0.79,7.074,2394,901,60.642,3.791,1.953,0.512,0.91
83.754,14.229,7.494,178.315,0.783,14.027,2483,889,164.055,7.322,1.899,0.527,0.948
10.395,5.011,2.641,178.248,0.77,5.141,2596,888,167.005,3.083,1.898,0.527,0.854
16.929,5.605,3.846,17.736,0.92,5.729,2698,893,19.654,4.007,1.457,0.686,0.912
113.157,20.749,6.944,21.722,0.596,21.47,2781,907,21.038,7.41,2.988,0.335,0.943
21.087,6.089,4.409,47.568,0.91,6.414,2902,896,32.735,4.692,1.381,0.724,0.916
25.69,8.307,3.938,38.892,0.703,8.66,3206,901,32.276,4.778,2.11,0.474,0.874
66.231,12.523,6.734,145.012,0.804,13.36,3303,888,146.768,7.085,1.86,0.538,0.949
39.649,8.671,5.822,142.185,0.877,8.872,3410,888,145.62,5.995,1.489,0.671,0.925
83.902,13.852,7.712,27.344,0.794,13.969,3505,903,24.444,8.053,1.796,0.557,0.94
111.078,14.811,9.549,178.197,0.748,16.299,744,901,173.211,10.575,1.551,0.645,0.93
13.81,5.621,3.128,22.028,0.844,6.032,1881,893,26.565,3.468,1.797,0.556,0.925
8.167,4.578,2.271,7.697,0.858,4.767,1984,891,14.036,2.312,2.016,0.496,0.902
36.828,8.333,5.627,90.454,0.81,8.963,3004,886,115.463,5.395,1.481,0.675,0.939
44.55,8.618,6.582,7.09,0.905,9.021,3102,897,19.983,6.551,1.309,0.764,0.957
50.044,11.485,5.548,18.4,0.762,11.902,36,1011,29.055,5.955,2.07,0.483,0.951
22.126,5.924,4.756,94.203,0.965,6.226,118,995,111.801,4.624,1.246,0.803,0.949
62.221,10.53,7.523,149.422,0.802,11.115,179,1002,146.31,8.206,1.4,0.714,0.921
81.823,20.511,5.079,174.22,0.489,20.482,237,1001,175.684,5.341,4.038,0.248,0.931
29.106,9.852,3.762,31.598,0.662,10.049,323,1010,32.471,4.108,2.619,0.382,0.893
30.442,7.797,4.971,16.977,0.902,8.102,396,1006,25.346,5.01,1.569,0.638,0.956
9.801,4.14,3.014,35.377,0.934,4.494,472,1002,30.964,3.27,1.373,0.728,0.917
22.423,7.352,3.883,5.737,0.758,7.86,538,1004,11.31,3.854,1.893,0.528,0.929
18.265,6.516,3.569,159.154,0.828,7.074,611,995,150.642,3.854,1.826,0.548,0.932
23.017,8.238,3.558,141.042,0.732,8.337,681,996,146.31,3.978,2.316,0.432,0.881
19.453,7.236,3.423,31.396,0.724,7.803,753,1006,32.905,3.936,2.114,0.473,0.891
39.946,12.645,4.022,12.238,0.599,12.552,817,1007,17.879,4.299,3.144,0.318,0.92
23.76,6.394,4.731,29.762,0.925,6.947,896,1006,33.69,5.01,1.351,0.74,0.952
30.739,9.313,4.203,137.578,0.753,9.825,965,996,138.18,4.632,2.216,0.451,0.924
29.551,7.477,5.032,39.369,0.87,7.6,1042,1012,59.534,5.177,1.486,0.673,0.923
25.096,8.071,3.959,178.088,0.802,8.238,1107,999,169.216,3.854,2.038,0.491,0.952
75.883,13.375,7.224,171.194,0.781,13.835,1171,998,167.125,7.557,1.852,0.54,0.949
83.16,11.181,9.47,112.971,0.907,11.438,1254,996,122.619,9.788,1.181,0.847,0.957
38.313,8.109,6.016,162.63,0.868,8.66,1321,998,147.724,6.166,1.348,0.742,0.933
13.662,6.529,2.664,20.434,0.7,6.585,1394,1004,20.556,2.925,2.451,0.408,0.889
82.566,12.25,8.582,35.779,0.808,13.798,1458,1018,35.91,9.479,1.427,0.701,0.953
40.54,7.436,6.941,171.037,0.855,8.129,1534,1008,31.43,7.286,1.071,0.933,0.937
22.72,5.645,5.125,15.146,0.941,6.093,1609,1005,34.695,5.01,1.101,0.908,0.947
33.561,7.907,5.404,36.952,0.871,8.556,1677,1009,35.838,5.722,1.463,0.683,0.948
71.874,14.854,6.161,24.495,0.652,15.385,1739,1017,22.068,6.9,2.411,0.415,0.901
29.254,7.483,4.978,106.037,0.798,7.935,1824,995,119.055,5.24,1.503,0.665,0.91
52.42,9.902,6.741,153.257,0.801,10.376,1887,1001,158.199,7.482,1.469,0.681,0.904
34.749,7.489,5.908,176.319,0.848,8.166,1961,995,160.71,5.78,1.268,0.789,0.953
49.599,10.179,6.204,115.763,0.819,10.879,2035,995,112.932,6.932,1.641,0.61,0.94
70.092,14.305,6.239,159.589,0.687,14.258,2096,998,161.075,6.297,2.293,0.436,0.932
83.011,13.816,7.65,153.795,0.766,13.798,2171,997,144.09,8.16,1.806,0.554,0.938
16.78,5.475,3.902,66.633,0.94,5.729,2251,1009,70.346,4.136,1.403,0.713,0.926
104.544,13.75,9.681,63.687,0.804,14.567,2314,1025,52.524,10.397,1.42,0.704,0.946
117.463,12.475,11.989,107.959,0.879,13.36,2392,996,123.232,12.331,1.041,0.961,0.957
17.523,4.798,4.65,159.403,0.936,5.241,2464,996,143.973,4.624,1.032,0.969,0.933
53.757,10.054,6.808,2.698,0.881,10.518,2527,1002,171.573,6.936,1.477,0.677,0.944
32.967,8.565,4.901,179.52,0.838,8.617,2600,999,169.695,5.01,1.748,0.572,0.927
149.687,17.922,10.634,135.497,0.788,19.364,2664,996,137.42,11.561,1.685,0.593,0.955
28.512,7.382,4.918,168.876,0.883,7.571,2744,999,165.256,5.01,1.501,0.666,0.928
18.859,5.132,4.679,96.024,0.967,5.517,2821,995,114.775,4.624,1.097,0.912,0.941
48.411,9.397,6.559,30.201,0.812,9.877,2884,1006,20.556,7.19,1.433,0.698,0.937
24.502,7.373,4.231,16.756,0.828,7.755,2958,1004,26.565,4.523,1.742,0.574,0.935
28.512,9.077,3.999,35.2,0.693,9.657,3027,1007,28.61,4.596,2.27,0.441,0.895
101.128,13.524,9.521,69.589,0.85,14.169,3102,1029,67.62,9.993,1.42,0.704,0.946
19.899,6.06,4.181,27.55,0.892,6.32,3175,1007,37.569,4.481,1.449,0.69,0.927
17.968,6.978,3.279,34.22,0.755,7.482,3244,1007,34.509,3.741,2.128,0.47,0.906
38.016,8.321,5.817,88.034,0.903,8.416,3320,995,105.945,5.78,1.43,0.699,0.948
22.275,6.897,4.112,36.212,0.871,7.271,3386,1008,32.005,4.36,1.677,0.596,0.917
14.701,4.881,3.835,9.396,0.91,5.354,3459,1003,30.256,3.854,1.273,0.786,0.934
17.374,5.56,3.979,28.665,0.88,6.032,3529,1002,26.565,4.36,1.397,0.716,0.925
280.229,24.505,14.56,116.529,0.749,25.127,139,84,105.593,14.505,1.683,0.594,0.947
26.154,6.066,5.489,28.016,0.827,7.005,190,111,20.376,5.779,1.105,0.905,0.945
5.773,3.3,2.227,49.642,0.754,3.85,252,99,43.025,2.637,1.481,0.675,0.886
8.166,3.871,2.686,138.851,0.897,3.958,305,83,121.43,2.763,1.441,0.694,0.922
4.259,3.017,1.798,62.299,0.827,3.123,356,98,57.265,1.93,1.678,0.596,0.893
9.574,5.628,2.166,164.967,0.65,5.578,397,85,160.346,2.318,2.599,0.385,0.911
9.61,4.755,2.573,0.79,0.762,5.052,500,91,15.068,2.627,1.848,0.541,0.929
7.322,3.454,2.699,20.574,0.879,3.7,556,98,30.466,2.853,1.28,0.781,0.922
36.186,7.278,6.331,151.212,0.795,8.264,597,90,140.528,6.734,1.15,0.87,0.94
80.714,16.976,6.054,86.378,0.572,16.617,667,83,96.483,6.581,2.804,0.357,0.899
5.914,3.51,2.145,0.109,0.863,3.56,708,92,18.435,2.251,1.636,0.611,0.928
3.942,2.301,2.181,117.058,0.96,2.503,767,83,102.995,2.251,1.055,0.948,0.911
4.576,3.576,1.629,138.992,0.711,3.85,812,84,136.975,1.839,2.195,0.456,0.881
7.427,3.426,2.76,110.112,0.903,3.799,868,83,110.225,2.883,1.241,0.806,0.917
2.992,2.438,1.563,9.579,0.807,2.686,914,91,24.775,1.689,1.56,0.641,0.881
4.611,3.439,1.707,20,0.589,3.976,962,95,19.29,2.121,2.014,0.496,0.882
26.717,11.721,2.902,52.58,0.452,12.309,1002,135,52.431,3.244,4.039,0.248,0.897
19.536,5.555,4.478,42.014,0.846,6.108,1113,108,42.51,4.878,1.24,0.806,0.952
4.189,3.364,1.586,49.589,0.774,3.34,1169,96,38.157,1.725,2.121,0.471,0.888
4.083,3.754,1.385,163.004,0.632,3.944,1217,83,154.654,1.543,2.711,0.369,0.892
9.222,4.577,2.566,118.9,0.814,4.69,1270,84,126.87,2.685,1.784,0.561,0.923
11.194,4.657,3.06,170.961,0.837,4.705,1318,84,156.501,3.146,1.522,0.657,0.942
9.082,4.177,2.768,133.687,0.848,4.376,1373,83,120.964,2.914,1.509,0.663,0.923
8.73,4.516,2.461,123.945,0.745,4.878,1427,83,112.62,2.653,1.835,0.545,0.908
73.815,10.818,8.688,50.277,0.838,11.714,1459,138,58.092,8.81,1.245,0.803,0.965
15.171,6.282,3.075,96.894,0.702,6.697,1529,83,101.31,3.377,2.043,0.489,0.934
19.255,8.36,2.932,72.648,0.599,8.784,1577,127,70.017,3.298,2.851,0.351,0.914
6.97,3.129,2.836,82.822,0.855,3.56,1630,83,108.435,3.002,1.104,0.906,0.915
5.562,3.092,2.29,110.792,0.917,3.325,1684,83,106.39,2.439,1.35,0.741,0.924
270.584,23.764,14.498,44.077,0.726,25.874,1685,173,39.114,16.079,1.639,0.61,0.954
20.839,7.517,3.53,129.103,0.732,7.882,1827,84,128.234,3.79,2.129,0.47,0.937
14.115,4.693,3.829,126.319,0.802,5.412,1885,83,123.69,4.064,1.226,0.816,0.909
36.749,10.374,4.51,107.466,0.656,11.164,1928,83,114.842,4.783,2.3,0.435,0.935
10.208,4.6,2.826,134.756,0.812,4.842,1981,87,144.462,3.051,1.628,0.614,0.921
26.928,8.097,4.234,98.789,0.706,8.122,2033,126,83.367,4.437,1.912,0.523,0.931
24.992,6.159,5.167,133.947,0.868,6.505,2079,85,146.768,5.439,1.192,0.839,0.954
30.272,10.697,3.603,172.325,0.534,11.197,2115,88,171.327,3.923,2.969,0.337,0.913
12.003,5.478,2.79,88.892,0.743,5.521,2189,112,80.218,2.814,1.963,0.509,0.925
5.597,3.972,1.794,169.71,0.731,4.05,2236,86,166.608,1.933,2.214,0.452,0.896
7.11,4.488,2.017,139.084,0.69,4.58,2288,86,145.008,2.255,2.225,0.449,0.874
6.054,4.304,1.791,107.305,0.663,4.511,2345,83,106.928,2.02,2.403,0.416,0.908
9.363,3.668,3.25,40.781,0.898,3.863,2390,99,29.055,3.317,1.129,0.886,0.932
3.907,3.469,1.434,18.668,0.682,3.525,2493,93,25.201,1.547,2.419,0.413,0.892
86.593,12.668,8.703,162.118,0.833,12.808,2522,93,148.173,8.72,1.455,0.687,0.971
5.667,3.585,2.013,28.486,0.672,4.059,453,99,33.69,2.342,1.781,0.561,0.877
5.174,3.119,2.112,165.721,0.894,3.145,1066,88,162.646,2.184,1.477,0.677,0.925
6.477,3.628,2.273,38.834,0.792,4.115,2443,100,46.848,2.517,1.596,0.626,0.936
9.011,3.976,2.885,113.608,0.787,4.331,163,225,107.65,3.189,1.378,0.726,0.914
13.2,6.416,2.62,115.557,0.622,6.765,202,226,123.69,3.062,2.449,0.408,0.901
16.791,7.404,2.888,47.007,0.601,8,244,254,39.289,3.135,2.564,0.39,0.917
46.218,14.319,4.11,30.487,0.522,14.615,275,269,29.197,4.417,3.484,0.287,0.924
5.878,3.808,1.966,132.812,0.803,4.132,351,225,129.472,2.123,1.937,0.516,0.928
9.152,3.565,3.269,20.083,0.909,3.776,402,243,63.435,3.331,1.09,0.917,0.934
7.216,4.255,2.159,22.004,0.514,5.006,441,231,12.995,2.543,1.97,0.508,0.828
7.885,4.279,2.346,106.03,0.76,4.392,498,225,109.983,2.551,1.824,0.548,0.914
14.362,6.188,2.955,66.349,0.679,6.29,541,257,72.646,3.188,2.094,0.478,0.902
22.282,5.942,4.774,73.87,0.739,6.819,604,225,97.907,5.066,1.245,0.803,0.932
8.87,4.144,2.726,90.381,0.691,4.46,646,248,75.379,2.814,1.52,0.658,0.913
8.131,5.358,1.932,141.832,0.622,5.257,684,226,145.176,2.278,2.773,0.361,0.837
5.878,3.873,1.933,115.4,0.744,4.115,787,225,114.228,2.098,2.004,0.499,0.92
63.29,12.865,6.264,105.849,0.67,13.577,873,225,101.155,7.065,2.054,0.487,0.92
59.981,11.803,6.47,74.808,0.77,11.95,923,285,67.865,6.8,1.824,0.548,0.966
12.848,5.143,3.181,77.742,0.631,5.74,1035,225,101.31,3.761,1.617,0.618,0.854
5.526,3.82,1.842,51.287,0.791,3.868,1075,242,50.906,2.022,2.074,0.482,0.9
3.766,2.813,1.705,75.138,0.815,2.966,1124,240,71.565,1.82,1.651,0.606,0.907
13.869,4.801,3.678,17.087,0.848,4.967,1164,229,169.114,3.916,1.305,0.766,0.939
11.123,4.365,3.244,98.214,0.82,4.871,1222,225,105.642,3.377,1.345,0.743,0.929
67.408,12.505,6.863,67.533,0.752,12.969,1270,292,75.763,7.132,1.822,0.549,0.961
7.779,4.411,2.245,29.499,0.804,4.475,1312,240,33.024,2.349,1.965,0.509,0.925
10.173,4.176,3.102,63.127,0.823,4.746,1363,249,71.565,3.317,1.346,0.743,0.919
15.911,5.702,3.553,34.52,0.724,6.211,1403,241,25.017,3.944,1.605,0.623,0.921
0.035,0.212,0.212,0,1,0.265,1469,225,135,0.188,1,1,1
6.054,4.617,1.67,36.115,0.592,4.542,1457,242,38.29,1.951,2.765,0.362,0.784
5.35,2.883,2.363,23.457,0.949,3.123,1508,237,32.735,2.439,1.22,0.82,0.938
6.723,3.832,2.234,12.311,0.84,3.976,1553,233,19.29,2.251,1.716,0.583,0.941
71.245,14.449,6.278,152.422,0.307,17.809,1584,227,138.417,8.475,2.302,0.434,0.636
120.983,17.671,8.717,1.054,0.442,20.41,1677,260,18.768,11.069,2.027,0.493,0.76
6.758,3.978,2.163,176.11,0.801,4.011,1793,231,169.216,2.251,1.839,0.544,0.928
8.378,3.603,2.961,45.657,0.92,3.738,1847,244,72.474,3.032,1.217,0.822,0.926
8.061,3.559,2.884,128.181,0.901,3.799,1894,225,122.905,3.104,1.234,0.81,0.931
25.027,9.665,3.297,152.746,0.588,10.077,1925,226,151.049,3.608,2.932,0.341,0.939
24.288,8.291,3.73,42.909,0.755,8.223,1979,254,34.778,3.715,2.223,0.45,0.943
4.787,4.055,1.503,154.542,0.619,4.364,2083,226,154.537,1.678,2.698,0.371,0.889
12.109,4.521,3.41,146.504,0.851,4.867,2130,233,152.447,3.582,1.326,0.754,0.939
3.766,2.636,1.819,61.313,0.929,2.77,2186,238,61.699,1.93,1.449,0.69,0.926
17.987,7.625,3.004,24.027,0.601,8.39,2218,248,26.565,3.356,2.538,0.394,0.921
83.425,19.926,5.331,61.543,0.481,20.176,2259,320,59.859,5.789,3.738,0.268,0.931
6.864,3.994,2.188,134.258,0.569,4.69,2324,225,143.13,2.949,1.825,0.548,0.775
11.651,6.17,2.404,170.213,0.501,6.883,2365,229,162.553,3.189,2.566,0.39,0.842
4.435,3.169,1.782,30.609,0.862,3.282,2423,235,30.964,1.93,1.778,0.562,0.926
55.652,13.376,5.297,84.111,0.641,13.88,2519,298,80.665,5.52,2.525,0.396,0.94
14.749,8.716,2.155,105.401,0.508,8.367,2568,225,109.654,2.289,4.045,0.247,0.915
9.187,4.495,2.602,37.711,0.805,4.542,734,245,38.29,2.919,1.727,0.579,0.897
4.506,2.802,2.047,178.881,0.829,2.966,832,229,161.565,2.064,1.369,0.731,0.898
10.032,3.955,3.229,144.674,0.845,4.475,1649,232,146.976,3.524,1.225,0.816,0.942
2.851,2.688,1.351,78.355,0.691,2.839,2042,226,97.595,1.501,1.99,0.502,0.876
3.555,2.996,1.511,89.383,0.698,3.382,2480,226,93.18,1.501,1.983,0.504,0.906
9.926,4.533,2.788,176.249,0.776,4.783,104,237,11.31,3.026,1.626,0.615,0.911
25.52,6.715,4.839,152.624,0.833,6.982,105,363,149.3,4.95,1.388,0.721,0.948
8.976,4.117,2.776,95.41,0.761,4.38,219,354,99.866,2.814,1.483,0.674,0.938
193.355,19.22,12.809,137.182,0.732,21.163,296,359,127.073,13.344,1.501,0.666,0.939
4.611,3.392,1.731,71.492,0.682,3.505,436,372,74.476,2.024,1.96,0.51,0.851
7.498,4.956,1.926,173.8,0.574,5.492,527,358,172.147,2.064,2.573,0.389,0.908
34.179,10.623,4.097,165.72,0.592,11.296,618,364,168.503,4.358,2.593,0.386,0.933
112.852,18.389,7.814,65.508,0.502,18.808,769,454,85.996,10.51,2.353,0.425,0.815
18.093,8.358,2.756,148.86,0.532,9.076,837,356,150.255,3.104,3.032,0.33,0.879
3.098,2.293,1.72,42.916,0.954,2.403,958,363,38.66,1.857,1.333,0.75,0.903
23.901,7.279,4.181,163.627,0.828,7.358,1050,359,160.641,4.368,1.741,0.574,0.958
203.915,17.859,14.538,40.884,0.774,19.686,1126,402,22.41,15.377,1.228,0.814,0.947
3.238,3.233,1.276,149.993,0.692,3.282,1272,355,149.036,1.552,2.534,0.395,0.829
6.97,4.065,2.183,58.255,0.712,4.518,1376,373,48.366,2.349,1.862,0.537,0.912
3.168,2.206,1.828,169.143,0.925,2.403,1485,355,141.34,1.876,1.206,0.829,0.923
4.611,3.547,1.655,0.554,0.757,3.643,1586,358,168.111,1.689,2.143,0.467,0.929
3.062,2.699,1.445,132.358,0.815,3.054,1695,354,132.51,1.592,1.868,0.535,0.916
7.322,3.571,2.611,148.178,0.871,3.944,1796,356,154.654,2.786,1.368,0.731,0.927
7.568,3.604,2.674,90.076,0.871,3.799,1908,354,110.225,2.627,1.348,0.742,0.937
47.45,13.569,4.453,0.724,0.587,13.065,1982,362,167.56,4.69,3.047,0.328,0.95
32.736,8.415,4.953,96.685,0.789,8.81,2111,354,116.565,4.69,1.699,0.589,0.969
3.837,2.816,1.735,37.404,0.854,3.054,2221,366,42.51,1.93,1.623,0.616,0.905
6.301,3.609,2.223,102.286,0.58,4.319,2275,357,124.38,2.814,1.624,0.616,0.85
357.529,31.128,14.624,178.692,0.651,32.757,2314,374,170.106,15.572,2.129,0.47,0.94
131.156,15.783,10.58,50.119,0.678,17.384,2502,432,55.109,11.496,1.492,0.67,0.922
20.099,6.324,4.047,62.649,0.691,7.327,458,525,76.675,4.568,1.563,0.64,0.906
4.717,3.148,1.908,166.33,0.74,3.356,812,489,153.435,2.159,1.65,0.606,0.882
11.862,3.962,3.812,23.174,0.892,4.352,1988,487,97.431,3.847,1.039,0.962,0.93
2.781,2.45,1.445,130.852,0.828,2.706,2340,487,123.69,1.592,1.696,0.59,0.893
3.731,2.771,1.715,142.237,0.845,2.966,2454,489,145.305,1.857,1.616,0.619,0.891
