Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
112.374,12.701,11.265,130.955,0.867,14.31,2316,786,122.905,11.878,1.128,0.887,0.934
1319.516,47.707,35.216,173.703,0.843,48.681,2344,804,9.189,35.16,1.355,0.738,0.975
137.345,16.093,10.866,160.898,0.884,16.544,2424,789,160.017,11.307,1.481,0.675,0.95
174.304,16.549,13.411,159.237,0.943,17.383,2480,789,153.435,13.427,1.234,0.81,0.955
113.372,13.908,10.379,163.1,0.885,14.975,2538,791,160.71,11.307,1.34,0.746,0.927
355.101,22.503,20.092,31.589,0.851,24.856,2644,798,14.826,20.988,1.12,0.893,0.952
733.675,40.46,23.088,170.549,0.793,43.022,2688,796,165.735,24.028,1.752,0.571,0.958
1383.444,58.747,29.984,75.51,0.67,62.818,2770,870,72.992,32.523,1.959,0.51,0.916
121.363,14.39,10.738,76.86,0.802,15.803,2823,805,63.435,11.768,1.34,0.746,0.927
460.981,30.778,19.07,50.254,0.795,33.715,2876,825,56.976,20.056,1.614,0.62,0.951
337.62,29.207,14.718,24.601,0.641,30.446,2924,811,21.801,17.184,1.984,0.504,0.834
