 ,Area,Mean,Min,Max
1,2.090,255,255,255
2,178.447,255,255,255
3,36.221,255,255,255
4,14.525,255,255,255
5,13.328,255,255,255
6,40.373,255,255,255
7,32.884,255,255,255
8,77.366,255,255,255
9,17.721,255,255,255
10,15.545,255,255,255
11,23.176,255,255,255
12,97.829,255,255,255
13,8.439,255,255,255
14,2.204,255,255,255
15,5.080,255,255,255
16,4.606,255,255,255
17,1.608,255,255,255
18,5.782,255,255,255
19,1.814,255,255,255
20,2.168,255,255,255
21,1.006,255,255,255
22,5.364,255,255,255
23,2.069,255,255,255
24,2.863,255,255,255
25,4.613,255,255,255
26,2.537,255,255,255
27,1.786,255,255,255
28,1.623,255,255,255
29,1.899,255,255,255
30,6.618,255,255,255
31,1.750,255,255,255
32,1.530,255,255,255
33,1.445,255,255,255
34,1.268,255,255,255
35,2.969,255,255,255
36,2.898,255,255,255
37,2.026,255,255,255
38,1.176,255,255,255
39,2.041,255,255,255
40,6.554,255,255,255
41,8.892,255,255,255
42,2.331,255,255,255
43,2.119,255,255,255
44,5.633,255,255,255
45,7.475,255,255,255
46,1.878,255,255,255
47,4.910,255,255,255
48,2.218,255,255,255
49,3.004,255,255,255
50,3.621,255,255,255
51,3.727,255,255,255
52,2.416,255,255,255
53,3.706,255,255,255
54,2.452,255,255,255
55,1.679,255,255,255
56,11.252,255,255,255
57,5.831,255,255,255
58,3.167,255,255,255
59,1.325,255,255,255
60,3.174,255,255,255
61,1.807,255,255,255
62,1.552,255,255,255
63,1.856,255,255,255
64,1.906,255,255,255
65,2.359,255,255,255
66,0.985,255,255,255
67,3.486,255,255,255
68,2.246,255,255,255
69,2.700,255,255,255
70,3.351,255,255,255
71,1.587,255,255,255
72,1.453,255,255,255
73,1.608,255,255,255
74,5.626,255,255,255
75,16.587,255,255,255
76,3.798,255,255,255
77,3.203,255,255,255
78,4.216,255,255,255
79,7.532,255,255,255
80,1.389,255,255,255
81,1.474,255,255,255
82,3.826,255,255,255
83,9.239,255,255,255
84,1.127,255,255,255
85,1.644,255,255,255
86,2.005,255,255,255
87,2.310,255,255,255
88,1.750,255,255,255
89,2.848,255,255,255
90,1.913,255,255,255
91,2.997,255,255,255
92,2.239,255,255,255
93,2.196,255,255,255
94,1.013,255,255,255
95,0.021,255,255,255
96,1.927,255,255,255
97,2.253,255,255,255
98,1.417,255,255,255
99,5.172,255,255,255
100,2.048,255,255,255
101,3.918,255,255,255
102,1.828,255,255,255
103,14.603,255,255,255
104,7.482,255,255,255
105,2.926,255,255,255
106,2.841,255,255,255
107,1.934,255,255,255
108,4.570,255,255,255
109,4.931,255,255,255
110,7.418,255,255,255
111,13.675,255,255,255
112,3.082,255,255,255
113,1.282,255,255,255
114,2.289,255,255,255
115,2.912,255,255,255
116,4.825,255,255,255
117,5.569,255,255,255
118,5.803,255,255,255
119,11.209,255,255,255
120,6.526,255,255,255
121,11.528,255,255,255
122,3.429,255,255,255
123,1.290,255,255,255
124,1.155,255,255,255
125,1.417,255,255,255
126,1.360,255,255,255
127,0.028,255,255,255
