 ,Area,Mean,Min,Max
1,280.228,255,255,255
2,26.154,255,255,255
3,5.773,255,255,255
4,8.166,255,255,255
5,4.259,255,255,255
6,9.574,255,255,255
7,9.610,255,255,255
8,7.322,255,255,255
9,36.186,255,255,255
10,80.714,255,255,255
11,5.914,255,255,255
12,3.942,255,255,255
13,4.576,255,255,255
14,7.427,255,255,255
15,2.992,255,255,255
16,4.611,255,255,255
17,26.717,255,255,255
18,19.536,255,255,255
19,4.189,255,255,255
20,4.083,255,255,255
21,9.222,255,255,255
22,11.194,255,255,255
23,9.082,255,255,255
24,8.730,255,255,255
25,73.815,255,255,255
26,15.171,255,255,255
27,19.254,255,255,255
28,6.970,255,255,255
29,5.562,255,255,255
30,270.583,255,255,255
31,20.838,255,255,255
32,14.115,255,255,255
33,36.749,255,255,255
34,10.208,255,255,255
35,26.928,255,255,255
36,24.992,255,255,255
37,30.272,255,255,255
38,12.003,255,255,255
39,5.597,255,255,255
40,7.110,255,255,255
41,6.054,255,255,255
42,9.363,255,255,255
43,3.907,255,255,255
44,86.592,255,255,255
45,5.667,255,255,255
46,5.174,255,255,255
47,6.477,255,255,255
48,9.011,255,255,255
49,13.200,255,255,255
50,16.790,255,255,255
51,46.218,255,255,255
52,5.878,255,255,255
53,9.152,255,255,255
54,7.216,255,255,255
55,7.885,255,255,255
56,14.362,255,255,255
57,22.282,255,255,255
58,8.870,255,255,255
59,8.131,255,255,255
60,5.878,255,255,255
61,63.290,255,255,255
62,59.981,255,255,255
63,12.848,255,255,255
64,5.526,255,255,255
65,3.766,255,255,255
66,13.869,255,255,255
67,11.123,255,255,255
68,67.408,255,255,255
69,7.779,255,255,255
70,10.173,255,255,255
71,15.910,255,255,255
72,0.035,255,255,255
73,6.054,255,255,255
74,5.350,255,255,255
75,6.723,255,255,255
76,71.245,255,255,255
77,120.983,255,255,255
78,6.758,255,255,255
79,8.378,255,255,255
80,8.061,255,255,255
81,25.027,255,255,255
82,24.288,255,255,255
83,4.787,255,255,255
84,12.109,255,255,255
85,3.766,255,255,255
86,17.987,255,255,255
87,83.424,255,255,255
88,6.864,255,255,255
89,11.651,255,255,255
90,4.435,255,255,255
91,55.651,255,255,255
92,14.749,255,255,255
93,9.187,255,255,255
94,4.506,255,255,255
95,10.032,255,255,255
96,2.851,255,255,255
97,3.555,255,255,255
98,9.926,255,255,255
99,25.520,255,255,255
100,8.976,255,255,255
101,193.354,255,255,255
102,4.611,255,255,255
103,7.498,255,255,255
104,34.179,255,255,255
105,112.852,255,255,255
106,18.093,255,255,255
107,3.098,255,255,255
108,23.901,255,255,255
109,203.914,255,255,255
110,3.238,255,255,255
111,6.970,255,255,255
112,3.168,255,255,255
113,4.611,255,255,255
114,3.062,255,255,255
115,7.322,255,255,255
116,7.568,255,255,255
117,47.450,255,255,255
118,32.736,255,255,255
119,3.837,255,255,255
120,6.301,255,255,255
121,357.528,255,255,255
122,131.156,255,255,255
123,20.099,255,255,255
124,4.717,255,255,255
125,11.862,255,255,255
126,2.781,255,255,255
127,3.731,255,255,255
128,16.403,255,255,255
129,4.154,255,255,255
130,10.419,255,255,255
131,11.053,255,255,255
132,9.187,255,255,255
133,7.181,255,255,255
134,11.123,255,255,255
135,4.822,255,255,255
136,4.541,255,255,255
137,4.893,255,255,255
138,11.933,255,255,255
139,9.082,255,255,255
140,17.600,255,255,255
141,15.277,255,255,255
142,6.547,255,255,255
143,5.280,255,255,255
144,8.659,255,255,255
145,7.216,255,255,255
146,9.504,255,255,255
147,3.309,255,255,255
148,5.597,255,255,255
149,10.138,255,255,255
150,4.506,255,255,255
151,3.379,255,255,255
152,3.942,255,255,255
153,2.675,255,255,255
154,14.467,255,255,255
155,4.294,255,255,255
156,4.611,255,255,255
157,12.707,255,255,255
