 ,Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,594.831,43.384,17.457,179.339,0.693,41.480,46,124,8.820,17.668,2.485,0.402,0.941
2,434.511,37.941,14.581,166.794,0.610,40.084,133,116,170.870,15.678,2.602,0.384,0.945
3,736.671,40.933,22.914,152.679,0.771,41.480,219,119,156.930,25.253,1.786,0.560,0.936
4,775.128,41.275,23.911,52.238,0.697,42.784,306,148,30.801,25.089,1.726,0.579,0.875
5,2116.619,92.882,29.015,142.928,0.579,90.185,366,114,142.322,29.885,3.201,0.312,0.946
6,314.147,30.352,13.178,159.327,0.718,30.356,569,111,155.225,13.632,2.303,0.434,0.947
7,392.059,36.298,13.752,162.865,0.580,36.749,650,114,157.380,16.296,2.639,0.379,0.828
8,1587.714,66.835,30.247,158.022,0.694,65.697,714,131,168.207,30.431,2.210,0.453,0.967
9,29.966,7.135,5.347,67.714,0.936,7.512,841,117,41.186,5.654,1.334,0.749,0.896
10,86.902,15.656,7.068,28.613,0.684,17.710,919,120,28.610,8.217,2.215,0.451,0.913
11,4152.329,109.940,48.089,145.688,0.651,112.322,954,125,145.510,48.900,2.286,0.437,0.973
12,247.721,21.819,14.456,52.291,0.889,22.348,1093,135,55.305,14.492,1.509,0.663,0.950
13,514.421,33.003,19.846,162.641,0.686,34.909,1164,114,148.241,23.576,1.663,0.601,0.924
14,189.786,19.656,12.294,133.977,0.830,20.543,1264,109,130.815,13.492,1.599,0.625,0.938
15,150.830,22.201,8.650,36.459,0.613,24.007,1346,131,42.614,9.682,2.566,0.390,0.915
16,49.444,9.627,6.540,154.704,0.834,10.787,1437,109,148.392,7.269,1.472,0.679,0.908
17,341.616,36.888,11.791,35.708,0.559,37.834,1507,138,32.800,13.811,3.128,0.320,0.869
18,139.843,19.351,9.201,98.513,0.712,18.711,1611,108,100.886,9.352,2.103,0.476,0.918
19,83.906,12.134,8.804,162.941,0.928,12.993,1692,111,157.620,9.187,1.378,0.726,0.941
20,267.199,27.493,12.374,174.807,0.671,29.284,1765,110,171.674,13.080,2.222,0.450,0.937
21,47.447,11.939,5.060,39.897,0.687,12.583,1864,121,38.157,6.076,2.359,0.424,0.841
22,51.942,8.500,7.780,72.987,0.839,9.612,1952,121,72.897,8.481,1.093,0.915,0.897
23,2184.043,63.404,43.858,0.493,0.661,70.565,1993,164,7.481,46.516,1.446,0.692,0.892
24,102.884,17.432,7.515,75.239,0.638,18.658,2124,132,65.376,8.348,2.320,0.431,0.896
25,158.322,18.916,10.657,157.674,0.814,19.406,2201,110,146.889,11.286,1.775,0.563,0.943
26,334.624,29.478,14.453,68.049,0.702,31.295,2291,148,64.592,15.404,2.040,0.490,0.949
27,594.831,29.797,25.417,24.639,0.852,32.631,2362,137,17.650,25.486,1.172,0.853,0.947
28,147.834,17.388,10.825,13.312,0.781,18.857,2457,116,12.995,12.014,1.606,0.623,0.924
29,756.149,35.881,26.832,138.071,0.818,38.740,2533,112,141.667,29.393,1.337,0.748,0.954
30,2571.607,76.873,42.593,69.947,0.769,78.346,2619,212,68.295,44.696,1.805,0.554,0.963
31,428.518,29.875,18.263,155.229,0.784,31.763,2705,111,159.146,20.488,1.636,0.611,0.946
32,736.671,40.110,23.385,14.072,0.619,45.014,2782,146,22.135,27.339,1.715,0.583,0.848
