 ,Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2240.524,60.314,47.298,90.803,0.707,67.304,770,467,76.314,50.445,1.275,0.784,0.931
2,1598.577,64.240,31.684,127.858,0.692,63.034,997,225,141.702,33.761,2.028,0.493,0.923
3,3721.675,78.033,60.726,8.906,0.697,86.392,1699,311,171.093,62.447,1.285,0.778,0.893
4,1032.586,49.387,26.621,2.304,0.745,52.808,1326,271,175.619,26.742,1.855,0.539,0.987
5,514.738,36.416,17.997,139.528,0.679,38.497,2819,237,141.044,20.445,2.023,0.494,0.964
6,685.536,31.682,27.550,139.187,0.870,31.858,434,245,111.092,26.752,1.150,0.870,0.987
7,678.774,37.726,22.908,40.493,0.793,38.502,2501,355,29.392,23.732,1.647,0.607,0.978
8,611.023,36.221,21.479,2.788,0.740,39.425,2215,340,7.737,22.693,1.686,0.593,0.985
9,18.707,7.381,3.227,68.364,0.712,7.596,47,630,63.435,3.424,2.287,0.437,0.941
10,52.515,14.633,4.570,149.903,0.503,15.986,85,598,149.689,5.123,3.202,0.312,0.938
11,5.364,2.836,2.408,40.649,0.933,3.062,143,608,33.690,2.548,1.177,0.849,0.937
12,5.680,3.845,1.881,20.770,0.775,4.084,171,608,27.897,2.089,2.045,0.489,0.933
13,6.266,3.070,2.599,176.840,0.935,3.185,205,599,143.130,2.548,1.181,0.847,0.933
14,3.291,2.288,1.831,147.950,0.994,2.476,237,599,149.036,1.911,1.250,0.800,0.924
15,12.171,4.439,3.491,111.758,0.894,4.771,270,598,110.854,3.753,1.271,0.787,0.931
16,12.171,4.439,3.491,113.140,0.894,4.771,301,598,110.854,3.753,1.272,0.786,0.931
17,3.336,2.402,1.768,83.810,0.934,2.565,332,609,65.556,1.699,1.358,0.736,0.937
18,3.246,2.742,1.507,37.438,0.820,2.888,360,606,36.027,1.691,1.820,0.550,0.878
19,3.246,2.742,1.507,37.438,0.820,2.888,391,606,36.027,1.691,1.820,0.550,0.878
20,4.418,2.908,1.934,179.231,0.851,3.091,421,607,15.945,2.123,1.503,0.665,0.903
21,4.463,2.941,1.932,177.943,0.834,3.091,452,607,15.945,2.123,1.522,0.657,0.904
22,6.581,3.381,2.478,8.147,0.888,3.559,482,607,17.354,2.548,1.364,0.733,0.910
23,6.536,3.361,2.476,6.753,0.905,3.559,513,607,17.354,2.548,1.357,0.737,0.912
24,7.122,3.585,2.529,25.384,0.895,3.714,545,610,30.964,2.650,1.417,0.706,0.916
25,7.122,3.585,2.529,25.384,0.895,3.714,576,610,30.964,2.650,1.417,0.706,0.916
26,12.847,4.904,3.336,38.609,0.885,5.183,604,615,34.992,3.453,1.470,0.680,0.936
27,6.762,3.961,2.174,156.503,0.858,4.084,637,599,152.103,2.283,1.822,0.549,0.929
28,5.905,3.879,1.938,0.822,0.785,3.915,667,601,167.471,1.911,2.001,0.500,0.919
29,5.950,3.903,1.941,0.219,0.791,3.915,698,601,167.471,1.911,2.010,0.497,0.920
30,2.930,2.555,1.460,158.089,0.852,2.768,733,598,147.529,1.614,1.749,0.572,0.903
31,5.725,3.275,2.226,68.202,0.845,3.482,764,613,52.431,2.402,1.471,0.680,0.904
32,3.922,2.385,2.094,58.838,0.815,2.660,795,609,28.610,2.184,1.139,0.878,0.892
33,8.880,4.522,2.501,166.400,0.765,4.539,821,604,169.216,2.706,1.808,0.553,0.904
34,8.880,4.522,2.501,166.400,0.765,4.539,852,604,169.216,2.706,1.808,0.553,0.904
35,6.401,3.815,2.136,18.752,0.842,3.989,885,608,25.201,2.335,1.786,0.560,0.928
36,7.889,3.251,3.089,45.069,0.934,3.609,917,610,28.072,3.153,1.052,0.950,0.921
37,7.889,3.251,3.089,45.069,0.934,3.609,948,610,28.072,3.153,1.052,0.950,0.921
38,30.517,7.468,5.203,110.909,0.803,7.981,974,598,118.610,5.371,1.436,0.697,0.947
39,5.499,3.310,2.115,167.329,0.929,3.357,1010,601,161.565,2.123,1.565,0.639,0.938
40,5.499,3.310,2.115,167.329,0.929,3.357,1041,601,161.565,2.123,1.565,0.639,0.938
41,4.913,2.937,2.130,159.741,0.959,3.135,1073,600,151.699,2.123,1.379,0.725,0.940
42,3.336,2.183,1.945,166.893,1.000,2.374,1106,599,153.435,1.911,1.123,0.891,0.931
43,4.553,2.578,2.249,50.987,0.888,2.856,1136,608,41.987,2.335,1.146,0.872,0.906
44,3.200,2.443,1.668,6.532,0.916,2.626,1167,604,14.036,1.699,1.465,0.683,0.899
45,3.200,2.443,1.668,6.532,0.916,2.626,1198,604,14.036,1.699,1.465,0.683,0.899
46,3.922,3.000,1.664,57.686,0.853,3.185,1230,610,53.130,1.804,1.802,0.555,0.926
47,3.741,3.024,1.576,57.890,0.814,3.185,1261,610,53.130,1.709,1.919,0.521,0.917
48,7.077,3.606,2.499,178.414,0.917,3.628,1289,599,159.444,2.335,1.443,0.693,0.963
49,7.032,3.581,2.500,177.691,0.911,3.628,1320,599,159.444,2.335,1.433,0.698,0.960
50,3.381,2.427,1.773,34.526,0.946,2.719,1354,606,38.660,1.911,1.369,0.731,0.949
51,3.381,2.427,1.773,34.526,0.946,2.719,1385,606,38.660,1.911,1.369,0.731,0.949
52,4.823,3.089,1.988,43.714,0.929,3.316,1415,609,39.806,2.102,1.554,0.644,0.930
53,4.823,3.089,1.988,43.714,0.929,3.316,1446,609,39.806,2.102,1.554,0.644,0.930
54,5.995,3.618,2.110,3.475,0.839,3.708,1505,604,13.241,2.123,1.715,0.583,0.917
55,5.950,3.580,2.116,3.470,0.833,3.665,1536,602,169.992,2.123,1.692,0.591,0.913
56,3.922,2.972,1.680,56.010,0.853,3.185,1572,610,53.130,1.899,1.769,0.565,0.916
57,3.832,2.908,1.678,54.856,0.833,3.156,1602,609,47.726,1.899,1.733,0.577,0.909
58,4.192,3.070,1.739,46.595,0.833,3.185,1632,608,36.870,1.952,1.765,0.566,0.890
59,4.192,3.070,1.739,46.595,0.833,3.185,1663,608,36.870,1.952,1.765,0.566,0.890
60,10.368,4.279,3.085,176.230,0.861,4.504,1690,606,171.870,3.185,1.387,0.721,0.920
61,10.368,4.290,3.077,177.365,0.879,4.504,1721,606,171.870,3.185,1.394,0.717,0.927
62,3.336,2.450,1.733,173.223,0.855,2.686,1756,602,161.565,1.699,1.414,0.707,0.931
63,6.626,3.785,2.229,72.947,0.871,3.903,1790,615,67.620,2.335,1.698,0.589,0.936
64,6.671,3.772,2.252,72.901,0.877,3.903,1821,615,67.620,2.335,1.675,0.597,0.940
65,3.155,2.278,1.764,166.678,0.938,2.421,1850,601,164.745,1.880,1.291,0.774,0.886
66,45.979,10.771,5.435,38.947,0.771,11.042,1866,631,37.972,5.670,1.982,0.505,0.956
67,3.786,2.422,1.990,176.448,1.000,2.565,1943,605,24.444,1.911,1.217,0.822,0.939
