 ,Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1.971,1.783,1.407,33.746,0.933,1.884,133,169,34.992,1.473,1.267,0.789,0.951
2,1.351,1.623,1.060,14.771,0.867,1.685,186,162,15.945,1.122,1.531,0.653,0.927
3,1.101,1.580,0.888,149.132,0.759,1.669,243,153,146.310,1.035,1.780,0.562,0.896
4,1.762,1.973,1.137,16.385,0.840,2.006,348,165,22.620,1.195,1.735,0.576,0.943
5,13.533,4.477,3.849,150.831,0.826,4.834,387,158,151.390,4.129,1.163,0.860,0.970
6,1.090,1.406,0.986,1.690,0.823,1.537,459,162,17.526,1.003,1.426,0.701,0.920
7,2.745,1.969,1.775,135.764,0.917,2.055,512,156,145.713,1.801,1.109,0.902,0.946
8,0.822,1.393,0.751,15.037,0.818,1.419,569,161,22.380,0.795,1.854,0.539,0.914
9,1.351,1.641,1.049,35.559,0.878,1.669,623,167,33.690,1.091,1.564,0.639,0.928
10,1.387,1.632,1.083,119.443,0.865,1.734,682,151,110.854,1.173,1.507,0.663,0.928
11,0.542,0.979,0.705,159.723,0.864,1.072,735,152,149.744,0.767,1.389,0.720,0.924
12,1.316,1.912,0.876,140.986,0.746,2.025,785,152,139.635,0.928,2.183,0.458,0.915
13,1.727,1.616,1.360,7.350,0.882,1.669,894,165,33.690,1.366,1.188,0.842,0.940
14,20.546,7.530,3.474,37.024,0.718,7.630,915,215,28.379,3.468,2.168,0.461,0.967
15,0.762,1.188,0.816,178.771,0.910,1.220,1005,154,161.565,0.849,1.456,0.687,0.928
16,0.839,1.078,0.991,179.196,0.964,1.147,1060,155,160.346,1.003,1.088,0.919,0.931
17,0.839,1.087,0.983,2.677,0.964,1.147,1114,160,19.654,1.003,1.106,0.904,0.925
18,3.126,2.530,1.573,141.682,0.826,2.593,1163,157,143.471,1.637,1.609,0.622,0.944
19,3.126,2.527,1.575,141.928,0.800,2.579,1218,156,141.072,1.691,1.605,0.623,0.932
20,1.268,1.342,1.203,171.529,0.949,1.419,1276,155,157.620,1.235,1.115,0.897,0.936
