 ,Area,Mean,Min,Max
1,104.461,255,255,255
2,38.288,255,255,255
3,37.829,255,255,255
4,34.067,255,255,255
5,23.651,255,255,255
6,27.267,255,255,255
7,26.877,255,255,255
8,14.622,255,255,255
9,18.930,255,255,255
10,15.122,255,255,255
11,0.612,255,255,255
12,13.892,255,255,255
13,1.833,255,255,255
14,0.627,255,255,255
15,1.578,255,255,255
16,1.350,255,255,255
17,1.173,255,255,255
18,1.173,255,255,255
19,1.284,255,255,255
20,1.239,255,255,255
21,11.546,255,255,255
22,4.273,255,255,255
23,1.384,255,255,255
24,1.108,255,255,255
25,4.944,255,255,255
26,4.138,255,255,255
27,1.946,255,255,255
28,2.647,255,255,255
29,2.760,255,255,255
30,2.127,255,255,255
31,1.437,255,255,255
32,6.213,255,255,255
33,1.445,255,255,255
34,4.262,255,255,255
35,1.602,255,255,255
36,14.678,255,255,255
37,10.190,255,255,255
38,10.233,255,255,255
39,1.903,255,255,255
40,10.351,255,255,255
41,5.390,255,255,255
42,11.167,255,255,255
43,1.763,255,255,255
44,0.766,255,255,255
45,0.503,255,255,255
46,1.258,255,255,255
47,2.371,255,255,255
48,1.297,255,255,255
49,5.640,255,255,255
50,15.094,255,255,255
51,2.318,255,255,255
52,3.111,255,255,255
53,9.828,255,255,255
54,2.055,255,255,255
55,8.413,255,255,255
56,1.822,255,255,255
57,8.799,255,255,255
58,8.757,255,255,255
59,11.198,255,255,255
60,6.313,255,255,255
61,6.572,255,255,255
62,4.643,255,255,255
63,3.516,255,255,255
64,1.953,255,255,255
65,1.857,255,255,255
66,1.467,255,255,255
67,1.757,255,255,255
68,1.493,255,255,255
69,3.546,255,255,255
70,1.443,255,255,255
71,4.680,255,255,255
72,1.182,255,255,255
73,5.057,255,255,255
74,6.167,255,255,255
75,3.770,255,255,255
76,0.346,255,255,255
77,1.027,255,255,255
78,8.670,255,255,255
79,2.029,255,255,255
80,9.909,255,255,255
81,1.130,255,255,255
82,2.262,255,255,255
83,1.435,255,255,255
84,3.095,255,255,255
85,3.518,255,255,255
86,1.051,255,255,255
87,1.263,255,255,255
88,1.515,255,255,255
89,5.409,255,255,255
90,0.932,255,255,255
91,12.197,255,255,255
92,1.866,255,255,255
93,4.554,255,255,255
94,1.236,255,255,255
95,9.101,255,255,255
96,2.307,255,255,255
97,1.263,255,255,255
98,9.981,255,255,255
99,0.729,255,255,255
100,10.475,255,255,255
101,13.089,255,255,255
102,1.078,255,255,255
103,1.805,255,255,255
104,1.154,255,255,255
105,0.962,255,255,255
106,1.339,255,255,255
107,0.679,255,255,255
108,0.797,255,255,255
109,1.062,255,255,255
110,0.792,255,255,255
111,4.532,255,255,255
112,4.227,255,255,255
113,14.730,255,255,255
114,3.557,255,255,255
115,4.643,255,255,255
116,1.132,255,255,255
117,2.005,255,255,255
118,0.953,255,255,255
119,0.718,255,255,255
120,4.617,255,255,255
