 ,Area,Mean,Min,Max
1,45.800,255,255,255
2,11.115,255,255,255
3,9.773,255,255,255
4,6.112,255,255,255
5,11.786,255,255,255
6,12.019,255,255,255
7,21.135,255,255,255
8,19.327,255,255,255
9,32.629,255,255,255
10,27.539,255,255,255
11,8.737,255,255,255
12,7.395,255,255,255
13,28.195,255,255,255
14,29.128,255,255,255
15,7.133,255,255,255
16,5.032,255,255,255
17,7.789,255,255,255
18,4.653,255,255,255
19,10.765,255,255,255
20,14.659,255,255,255
21,30.485,255,255,255
22,5.849,255,255,255
23,10.414,255,255,255
24,19.400,255,255,255
25,62.064,255,255,255
26,62.137,255,255,255
27,24.359,255,255,255
28,9.714,255,255,255
29,11.713,255,255,255
30,13.317,255,255,255
31,10.692,255,255,255
32,17.007,255,255,255
33,19.356,255,255,255
34,15.067,255,255,255
35,8.722,255,255,255
36,13.303,255,255,255
37,19.677,255,255,255
38,5.689,255,255,255
39,11.669,255,255,255
40,11.975,255,255,255
41,21.923,255,255,255
42,40.783,255,255,255
43,31.433,255,255,255
44,7.672,255,255,255
45,8.154,255,255,255
46,12.150,255,255,255
47,8.081,255,255,255
48,44.867,255,255,255
49,23.061,255,255,255
50,11.100,255,255,255
51,2.421,255,255,255
52,14.499,255,255,255
53,5.557,255,255,255
54,6.768,255,255,255
55,17.343,255,255,255
56,154.204,255,255,255
57,18.729,255,255,255
58,8.810,255,255,255
59,10.269,255,255,255
60,30.908,255,255,255
61,15.140,255,255,255
62,12.048,255,255,255
63,21.208,255,255,255
64,6.112,255,255,255
65,22.871,255,255,255
66,7.031,255,255,255
67,10.035,255,255,255
68,8.037,255,255,255
69,43.598,255,255,255
70,11.377,255,255,255
71,13.142,255,255,255
72,20.479,255,255,255
73,5.222,255,255,255
74,18.510,255,255,255
75,40.418,255,255,255
76,16.030,255,255,255
77,12.384,255,255,255
78,6.068,255,255,255
79,7.045,255,255,255
80,15.490,255,255,255
81,6.155,255,255,255
82,9.656,255,255,255
83,7.643,255,255,255
84,15.359,255,255,255
85,10.094,255,255,255
86,7.935,255,255,255
87,10.444,255,255,255
88,7.906,255,255,255
89,12.573,255,255,255
90,25.380,255,255,255
91,6.972,255,255,255
92,11.465,255,255,255
93,8.970,255,255,255
94,6.243,255,255,255
95,9.568,255,255,255
96,18.991,255,255,255
97,29.420,255,255,255
98,16.614,255,255,255
99,42.548,255,255,255
100,8.008,255,255,255
101,4.843,255,255,255
102,28.049,255,255,255
103,2.640,255,255,255
