dP_(mBar),Q_(ml/min),dP_(Pa),Q_(m^3/s)
1887.3,3,188730,0.00000005
1746.1,2.69,174610,4.48333E-08
1626.3,2.45,162630,4.08333E-08
1473.6,2.14,147360,3.56667E-08
1313.3,1.81,131330,3.01667E-08
1137.6,1.48,113760,2.46667E-08
