dP_(mBar),Q_(ml/min),dP_(Pa),Q_(m^3/s)
1505.2,37.6,150520,6.26667E-07
1424.5,34.85,142450,5.80833E-07
1290.2,30.42,129020,0.000000507
1143.1,25.77,114310,4.295E-07
1010.2,21.84,101020,0.000000364
907.8,19,90780,3.16667E-07
