 ,Area,Mean,Min,Max
1,109.219,255,255,255
2,20.080,255,255,255
3,28.997,255,255,255
4,14.543,255,255,255
5,22.598,255,255,255
6,16.074,255,255,255
7,8.261,255,255,255
8,13.726,255,255,255
9,8.480,255,255,255
10,7.683,255,255,255
11,3.641,255,255,255
12,2.485,255,255,255
13,1.875,255,255,255
14,5.690,255,255,255
15,1.326,255,255,255
16,1.476,255,255,255
17,1.710,255,255,255
18,1.617,255,255,255
19,1.802,255,255,255
20,2.061,255,255,255
21,1.956,255,255,255
22,1.493,255,255,255
23,0.774,255,255,255
24,4.939,255,255,255
25,2.452,255,255,255
26,2.322,255,255,255
27,2.270,255,255,255
28,1.253,255,255,255
29,5.019,255,255,255
30,3.423,255,255,255
31,1.597,255,255,255
32,1.538,255,255,255
33,5.100,255,255,255
34,1.604,255,255,255
35,0.683,255,255,255
36,0.983,255,255,255
37,0.832,255,255,255
38,2.040,255,255,255
39,2.424,255,255,255
40,1.001,255,255,255
41,3.115,255,255,255
42,3.048,255,255,255
43,1.345,255,255,255
44,1.248,255,255,255
45,1.569,255,255,255
46,0.028,255,255,255
47,0.823,255,255,255
48,0.001,255,255,255
49,4.182,255,255,255
50,1.128,255,255,255
51,1.292,255,255,255
52,1.519,255,255,255
53,0.861,255,255,255
54,4.117,255,255,255
55,5.381,255,255,255
56,1.747,255,255,255
57,5.647,255,255,255
58,2.005,255,255,255
59,2.363,255,255,255
60,1.722,255,255,255
61,1.511,255,255,255
62,1.058,255,255,255
63,3.209,255,255,255
64,0.618,255,255,255
65,0.736,255,255,255
66,1.254,255,255,255
67,1.827,255,255,255
68,1.211,255,255,255
69,1.059,255,255,255
70,2.312,255,255,255
71,1.524,255,255,255
72,1.129,255,255,255
73,1.368,255,255,255
74,0.760,255,255,255
75,0.970,255,255,255
76,4.857,255,255,255
77,1.579,255,255,255
78,1.101,255,255,255
79,3.692,255,255,255
80,1.549,255,255,255
81,2.242,255,255,255
82,1.079,255,255,255
83,1.658,255,255,255
84,1.627,255,255,255
85,1.330,255,255,255
86,1.234,255,255,255
87,1.053,255,255,255
88,4.130,255,255,255
89,2.487,255,255,255
90,3.049,255,255,255
91,5.364,255,255,255
92,1.655,255,255,255
93,3.346,255,255,255
94,3.722,255,255,255
95,3.546,255,255,255
96,3.388,255,255,255
97,1.914,255,255,255
98,1.690,255,255,255
99,2.567,255,255,255
100,1.241,255,255,255
101,1.975,255,255,255
102,2.226,255,255,255
103,1.725,255,255,255
104,1.167,255,255,255
105,5.247,255,255,255
106,1.642,255,255,255
107,3.788,255,255,255
108,0.542,255,255,255
109,6.022,255,255,255
110,1.831,255,255,255
111,0.552,255,255,255
112,0.823,255,255,255
