 ,Area,Mean,Min,Max
1,4210.536,255,255,255
2,4820.454,255,255,255
3,3186.943,255,255,255
4,4570.885,255,255,255
5,1663.495,255,255,255
6,2052.751,255,255,255
7,886.240,255,255,255
8,1058.963,255,255,255
9,1100.977,255,255,255
10,1072.608,255,255,255
11,1185.004,255,255,255
12,972.422,255,255,255
13,984.092,255,255,255
14,433.065,255,255,255
15,82.412,255,255,255
16,176.853,255,255,255
17,389.795,255,255,255
18,11.311,255,255,255
19,21.546,255,255,255
20,80.616,255,255,255
21,17.057,255,255,255
22,201.810,255,255,255
23,184.035,255,255,255
24,84.207,255,255,255
25,280.990,255,255,255
26,179.367,255,255,255
27,1250.718,255,255,255
28,61.046,255,255,255
29,37.166,255,255,255
30,47.400,255,255,255
31,45.605,255,255,255
32,57.275,255,255,255
33,112.396,255,255,255
34,57.634,255,255,255
35,456.227,255,255,255
36,22.264,255,255,255
37,84.028,255,255,255
38,154.230,255,255,255
39,134.480,255,255,255
40,35.550,255,255,255
41,27.111,255,255,255
42,344.908,255,255,255
43,188.523,255,255,255
44,178.828,255,255,255
45,40.937,255,255,255
46,158.719,255,255,255
47,20.827,255,255,255
48,19.032,255,255,255
49,94.621,255,255,255
50,17.775,255,255,255
51,47.041,255,255,255
52,28.907,255,255,255
53,71.100,255,255,255
54,45.066,255,255,255
55,48.118,255,255,255
56,189.780,255,255,255
57,86.182,255,255,255
58,34.114,255,255,255
59,89.953,255,255,255
60,63.200,255,255,255
61,50.452,255,255,255
62,130.889,255,255,255
63,30.523,255,255,255
64,27.650,255,255,255
65,109.882,255,255,255
66,551.566,255,255,255
67,53.864,255,255,255
68,110.421,255,255,255
69,35.730,255,255,255
70,517.272,255,255,255
71,24.777,255,255,255
72,12.748,255,255,255
73,14.543,255,255,255
74,33.036,255,255,255
75,14.543,255,255,255
76,21.007,255,255,255
77,16.159,255,255,255
78,18.493,255,255,255
79,70.023,255,255,255
80,84.925,255,255,255
81,36.268,255,255,255
82,62.482,255,255,255
83,24.059,255,255,255
84,24.598,255,255,255
85,59.968,255,255,255
86,16.339,255,255,255
87,121.553,255,255,255
88,74.691,255,255,255
89,9.336,255,255,255
90,90.491,255,255,255
91,49.734,255,255,255
92,26.932,255,255,255
93,107.907,255,255,255
94,19.571,255,255,255
95,24.059,255,255,255
96,260.162,255,255,255
97,29.805,255,255,255
98,152.435,255,255,255
99,31.421,255,255,255
100,57.096,255,255,255
101,90.132,255,255,255
102,69.843,255,255,255
103,107.009,255,255,255
104,409.186,255,255,255
105,87.259,255,255,255
106,18.314,255,255,255
107,37.884,255,255,255
108,247.774,255,255,255
109,54.941,255,255,255
110,46.143,255,255,255
111,14.723,255,255,255
112,16.877,255,255,255
113,18.134,255,255,255
114,23.700,255,255,255
115,32.498,255,255,255
116,59.250,255,255,255
117,14.005,255,255,255
118,23.521,255,255,255
119,31.421,255,255,255
120,207.914,255,255,255
121,22.982,255,255,255
122,26.932,255,255,255
123,81.155,255,255,255
124,29.446,255,255,255
125,19.211,255,255,255
126,35.011,255,255,255
127,42.373,255,255,255
128,12.209,255,255,255
129,16.877,255,255,255
130,22.084,255,255,255
131,13.466,255,255,255
132,26.932,255,255,255
133,41.116,255,255,255
134,136.814,255,255,255
135,14.184,255,255,255
136,20.109,255,255,255
137,21.905,255,255,255
138,57.275,255,255,255
139,83.489,255,255,255
140,85.105,255,255,255
141,50.273,255,255,255
142,80.796,255,255,255
143,42.373,255,255,255
144,71.639,255,255,255
145,63.200,255,255,255
146,34.114,255,255,255
147,144.894,255,255,255
148,43.989,255,255,255
149,27.291,255,255,255
150,82.950,255,255,255
151,39.141,255,255,255
152,20.109,255,255,255
153,64.996,255,255,255
154,71.280,255,255,255
155,185.112,255,255,255
156,169.312,255,255,255
157,73.434,255,255,255
158,49.555,255,255,255
159,31.241,255,255,255
160,349.756,255,255,255
161,37.525,255,255,255
162,37.525,255,255,255
163,72.716,255,255,255
164,54.941,255,255,255
165,34.652,255,255,255
166,33.216,255,255,255
167,100.725,255,255,255
168,153.512,255,255,255
169,305.947,255,255,255
170,112.037,255,255,255
171,74.691,255,255,255
172,72.357,255,255,255
173,418.342,255,255,255
