 ,Area,Mean,Min,Max
1,253.873,255,255,255
2,80.357,255,255,255
3,72.438,255,255,255
4,9.924,255,255,255
5,27.903,255,255,255
6,11.386,255,255,255
7,12.949,255,255,255
8,10.791,255,255,255
9,2.445,255,255,255
10,3.385,255,255,255
11,2.208,255,255,255
12,1.578,255,255,255
13,0.872,255,255,255
14,2.183,255,255,255
15,2.948,255,255,255
16,5.235,255,255,255
17,2.343,255,255,255
18,3.112,255,255,255
19,1.606,255,255,255
20,3.823,255,255,255
21,4.975,255,255,255
22,1.225,255,255,255
23,2.084,255,255,255
24,3.858,255,255,255
25,1.753,255,255,255
26,2.170,255,255,255
27,1.826,255,255,255
28,0.001,255,255,255
29,1.587,255,255,255
