 ,Area,Mean,Min,Max
1,33.682,255,255,255
2,2.318,255,255,255
3,1.323,255,255,255
4,1.093,255,255,255
5,0.832,255,255,255
6,4.944,255,255,255
7,1.110,255,255,255
8,1.393,255,255,255
9,3.526,255,255,255
10,0.788,255,255,255
11,7.878,255,255,255
12,0.933,255,255,255
13,1.290,255,255,255
14,9.372,255,255,255
15,0.564,255,255,255
16,0.916,255,255,255
17,0.930,255,255,255
18,8.039,255,255,255
19,2.675,255,255,255
20,2.105,255,255,255
21,1.102,255,255,255
22,1.293,255,255,255
23,1.047,255,255,255
24,0.695,255,255,255
25,1.186,255,255,255
26,0.657,255,255,255
27,0.919,255,255,255
28,2.920,255,255,255
29,1.028,255,255,255
30,0.469,255,255,255
31,2.841,255,255,255
32,25.965,255,255,255
33,0.952,255,255,255
34,1.543,255,255,255
35,1.279,255,255,255
36,1.336,255,255,255
37,0.496,255,255,255
