 ,Area,Mean,Min,Max
1,26.323,255,255,255
2,9.542,255,255,255
3,33.963,255,255,255
4,9.213,255,255,255
5,11.151,255,255,255
6,38.241,255,255,255
7,10.127,255,255,255
8,7.714,255,255,255
9,5.813,255,255,255
10,13.381,255,255,255
11,26.030,255,255,255
12,29.723,255,255,255
13,16.232,255,255,255
14,6.032,255,255,255
15,5.155,255,255,255
16,35.279,255,255,255
17,13.856,255,255,255
18,40.544,255,255,255
19,6.946,255,255,255
20,27.419,255,255,255
21,64.417,255,255,255
22,11.955,255,255,255
23,34.695,255,255,255
24,36.011,255,255,255
25,12.942,255,255,255
26,14.039,255,255,255
27,46.393,255,255,255
28,11.845,255,255,255
29,13.600,255,255,255
30,9.578,255,255,255
31,15.830,255,255,255
32,7.129,255,255,255
33,71.619,255,255,255
34,35.060,255,255,255
35,32.574,255,255,255
36,9.981,255,255,255
37,81.234,255,255,255
38,22.338,255,255,255
39,10.785,255,255,255
40,11.151,255,255,255
41,9.469,255,255,255
42,12.905,255,255,255
43,12.064,255,255,255
44,7.239,255,255,255
45,79.845,255,255,255
46,23.178,255,255,255
47,68.183,255,255,255
48,8.664,255,255,255
49,11.918,255,255,255
50,26.140,255,255,255
51,14.112,255,255,255
52,21.753,255,255,255
53,27.237,255,255,255
54,27.492,255,255,255
55,25.116,255,255,255
56,19.194,255,255,255
57,34.658,255,255,255
58,22.301,255,255,255
59,27.712,255,255,255
60,16.598,255,255,255
61,13.015,255,255,255
62,17.366,255,255,255
63,13.271,255,255,255
64,5.082,255,255,255
65,22.338,255,255,255
66,9.834,255,255,255
67,22.849,255,255,255
68,10.602,255,255,255
69,80.357,255,255,255
70,52.133,255,255,255
71,24.750,255,255,255
72,8.116,255,255,255
73,8.335,255,255,255
74,5.594,255,255,255
75,14.514,255,255,255
76,11.370,255,255,255
77,10.895,255,255,255
78,15.209,255,255,255
79,9.761,255,255,255
80,8.482,255,255,255
81,34.036,255,255,255
82,4.204,255,255,255
83,13.271,255,255,255
84,39.082,255,255,255
85,16.123,255,255,255
86,63.467,255,255,255
87,10.566,255,255,255
88,14.880,255,255,255
89,40.763,255,255,255
90,28.918,255,255,255
91,3.108,255,255,255
92,9.761,255,255,255
93,24.458,255,255,255
94,39.045,255,255,255
95,29.576,255,255,255
96,20.363,255,255,255
97,15.830,255,255,255
98,7.714,255,255,255
99,19.413,255,255,255
100,9.432,255,255,255
101,24.495,255,255,255
102,9.871,255,255,255
103,31.477,255,255,255
104,30.234,255,255,255
105,5.191,255,255,255
106,33.744,255,255,255
107,10.895,255,255,255
108,54.473,255,255,255
109,12.942,255,255,255
110,20.546,255,255,255
111,31.441,255,255,255
112,68.402,255,255,255
113,15.062,255,255,255
114,12.613,255,255,255
115,17.183,255,255,255
116,4.606,255,255,255
117,49.464,255,255,255
118,6.873,255,255,255
119,10.346,255,255,255
120,21.862,255,255,255
121,21.058,255,255,255
122,16.086,255,255,255
123,94.980,255,255,255
124,27.968,255,255,255
125,7.275,255,255,255
126,16.378,255,255,255
127,15.611,255,255,255
128,7.385,255,255,255
129,8.335,255,255,255
130,15.611,255,255,255
131,63.174,255,255,255
132,35.974,255,255,255
133,37.107,255,255,255
134,19.303,255,255,255
135,40.654,255,255,255
136,45.918,255,255,255
137,36.047,255,255,255
138,4.058,255,255,255
139,48.039,255,255,255
140,2.778,255,255,255
141,22.886,255,255,255
142,58.677,255,255,255
143,83.062,255,255,255
144,15.282,255,255,255
145,14.148,255,255,255
146,15.318,255,255,255
147,42.993,255,255,255
148,25.811,255,255,255
149,8.628,255,255,255
150,5.849,255,255,255
151,8.482,255,255,255
152,16.378,255,255,255
153,41.385,255,255,255
154,32.135,255,255,255
155,8.591,255,255,255
156,7.824,255,255,255
157,17.439,255,255,255
158,55.460,255,255,255
159,29.723,255,255,255
160,11.882,255,255,255
161,11.224,255,255,255
162,64.673,255,255,255
163,35.572,255,255,255
164,24.239,255,255,255
165,31.404,255,255,255
166,26.067,255,255,255
167,35.060,255,255,255
168,6.800,255,255,255
169,43.249,255,255,255
170,26.798,255,255,255
171,21.350,255,255,255
172,25.080,255,255,255
173,5.886,255,255,255
174,16.013,255,255,255
175,18.206,255,255,255
176,15.647,255,255,255
177,25.993,255,255,255
178,38.241,255,255,255
179,6.325,255,255,255
180,126.860,255,255,255
181,11.662,255,255,255
182,45.479,255,255,255
183,41.092,255,255,255
184,21.716,255,255,255
185,13.746,255,255,255
186,12.905,255,255,255
187,45.443,255,255,255
188,24.750,255,255,255
189,11.991,255,255,255
190,3.400,255,255,255
191,33.963,255,255,255
192,8.482,255,255,255
193,29.211,255,255,255
194,12.832,255,255,255
195,10.054,255,255,255
196,26.432,255,255,255
197,7.531,255,255,255
198,3.108,255,255,255
199,13.052,255,255,255
200,4.058,255,255,255
201,22.264,255,255,255
202,24.933,255,255,255
203,55.424,255,255,255
204,114.211,255,255,255
205,66.282,255,255,255
206,14.806,255,255,255
207,10.456,255,255,255
208,6.727,255,255,255
209,10.127,255,255,255
210,5.301,255,255,255
211,12.796,255,255,255
212,19.047,255,255,255
213,11.516,255,255,255
214,22.923,255,255,255
215,20.473,255,255,255
216,6.800,255,255,255
217,12.869,255,255,255
218,46.832,255,255,255
219,7.604,255,255,255
220,7.421,255,255,255
221,4.899,255,255,255
222,18.718,255,255,255
223,15.464,255,255,255
224,6.727,255,255,255
225,46.028,255,255,255
226,6.325,255,255,255
227,56.082,255,255,255
228,8.664,255,255,255
229,7.202,255,255,255
230,23.032,255,255,255
231,8.628,255,255,255
232,21.131,255,255,255
233,20.181,255,255,255
234,47.600,255,255,255
235,8.555,255,255,255
236,14.258,255,255,255
237,21.643,255,255,255
238,4.899,255,255,255
239,11.772,255,255,255
240,6.325,255,255,255
241,43.286,255,255,255
242,6.361,255,255,255
243,32.720,255,255,255
244,2.413,255,255,255
245,46.796,255,255,255
246,5.630,255,255,255
247,44.090,255,255,255
248,18.938,255,255,255
249,25.920,255,255,255
250,23.873,255,255,255
251,14.039,255,255,255
252,24.860,255,255,255
253,7.897,255,255,255
254,22.849,255,255,255
255,9.249,255,255,255
256,24.312,255,255,255
257,24.604,255,255,255
258,44.858,255,255,255
259,11.480,255,255,255
260,96.333,255,255,255
261,13.125,255,255,255
262,13.746,255,255,255
263,35.535,255,255,255
264,51.585,255,255,255
265,10.529,255,255,255
266,7.751,255,255,255
267,84.086,255,255,255
268,14.587,255,255,255
269,35.572,255,255,255
270,23.398,255,255,255
271,29.905,255,255,255
272,12.028,255,255,255
273,9.908,255,255,255
274,18.316,255,255,255
275,43.542,255,255,255
276,9.725,255,255,255
277,14.770,255,255,255
278,60.396,255,255,255
279,32.684,255,255,255
280,10.346,255,255,255
281,5.374,255,255,255
282,47.234,255,255,255
283,9.615,255,255,255
284,13.527,255,255,255
285,26.615,255,255,255
286,43.798,255,255,255
287,17.000,255,255,255
288,9.652,255,255,255
289,25.372,255,255,255
290,45.004,255,255,255
291,9.615,255,255,255
292,46.320,255,255,255
293,9.432,255,255,255
294,11.370,255,255,255
295,13.600,255,255,255
296,37.583,255,255,255
297,36.047,255,255,255
298,28.772,255,255,255
299,118.744,255,255,255
300,32.903,255,255,255
301,12.503,255,255,255
302,24.568,255,255,255
303,27.858,255,255,255
304,31.404,255,255,255
305,20.400,255,255,255
306,20.583,255,255,255
307,112.529,255,255,255
308,168.062,255,255,255
309,16.707,255,255,255
310,7.458,255,255,255
311,2.925,255,255,255
312,7.568,255,255,255
313,9.505,255,255,255
314,44.492,255,255,255
315,4.131,255,255,255
316,8.043,255,255,255
317,21.204,255,255,255
318,9.834,255,255,255
319,16.525,255,255,255
320,8.738,255,255,255
