 ,Area,Mean,Min,Max
1,12.475,255,255,255
2,12.827,255,255,255
3,4.785,255,255,255
4,123.961,255,255,255
5,2.536,255,255,255
6,2.665,255,255,255
7,4.117,255,255,255
8,12.961,255,255,255
9,134.644,255,255,255
10,2.653,255,255,255
11,6.443,255,255,255
12,65.890,255,255,255
13,5.710,255,255,255
14,12.709,255,255,255
15,8.311,255,255,255
16,151.073,255,255,255
17,6.331,255,255,255
18,3.081,255,255,255
19,12.200,255,255,255
20,4.311,255,255,255
21,4.223,255,255,255
22,14.812,255,255,255
23,4.258,255,255,255
24,2.325,255,255,255
25,107.913,255,255,255
26,5.248,255,255,255
27,22.168,255,255,255
28,60.303,255,255,255
29,5.546,255,255,255
30,4.527,255,255,255
31,4.065,255,255,255
32,2.278,255,255,255
33,2.196,255,255,255
34,120.412,255,255,255
35,171.707,255,255,255
36,5.693,255,255,255
37,27.691,255,255,255
38,4.311,255,255,255
39,77.288,255,255,255
40,43.189,255,255,255
41,21.928,255,255,255
42,17.032,255,255,255
43,5.933,255,255,255
44,8.996,255,255,255
45,169.920,255,255,255
