 ,Area,Mean,Min,Max
1,22.930,255,255,255
2,13.186,255,255,255
3,57.748,255,255,255
4,7.241,255,255,255
5,210.254,255,255,255
6,25.254,255,255,255
7,17.432,255,255,255
8,60.922,255,255,255
9,52.608,255,255,255
10,35.892,255,255,255
11,83.494,255,255,255
12,11.934,255,255,255
13,10.057,255,255,255
14,10.057,255,255,255
15,72.901,255,255,255
16,14.348,255,255,255
17,22.214,255,255,255
18,69.906,255,255,255
19,60.922,255,255,255
20,27.310,255,255,255
21,40.898,255,255,255
22,49.345,255,255,255
23,1.788,255,255,255
24,4.961,255,255,255
25,21.678,255,255,255
26,14.214,255,255,255
27,282.708,255,255,255
28,4.157,255,255,255
29,2.548,255,255,255
30,5.855,255,255,255
31,50.865,255,255,255
32,5.587,255,255,255
33,298.933,255,255,255
34,12.828,255,255,255
35,694.724,255,255,255
36,36.473,255,255,255
37,129.666,255,255,255
38,71.828,255,255,255
39,84.522,255,255,255
40,30.528,255,255,255
41,87.829,255,255,255
42,264.561,255,255,255
43,10.057,255,255,255
44,31.109,255,255,255
45,7.911,255,255,255
46,334.825,255,255,255
47,7.107,255,255,255
48,11.308,255,255,255
49,46.217,255,255,255
50,12.783,255,255,255
51,6.883,255,255,255
52,34.283,255,255,255
53,3.710,255,255,255
54,13.722,255,255,255
55,26.818,255,255,255
56,247.889,255,255,255
57,13.588,255,255,255
58,175.301,255,255,255
59,0.045,255,255,255
60,935.551,255,255,255
61,59.581,255,255,255
62,151.478,255,255,255
63,72.633,255,255,255
64,22.080,255,255,255
65,968.583,255,255,255
66,74.018,255,255,255
67,15.286,255,255,255
68,4.604,255,255,255
69,37.814,255,255,255
70,129.845,255,255,255
71,18.013,255,255,255
72,15.733,255,255,255
73,29.321,255,255,255
74,19.756,255,255,255
75,30.394,255,255,255
76,85.550,255,255,255
77,33.165,255,255,255
78,399.680,255,255,255
79,20.426,255,255,255
80,47.066,255,255,255
81,8.269,255,255,255
82,53.189,255,255,255
83,5.989,255,255,255
84,19.488,255,255,255
85,12.292,255,255,255
86,21.320,255,255,255
87,8.627,255,255,255
88,996.920,255,255,255
89,75.895,255,255,255
90,33.970,255,255,255
91,48.988,255,255,255
92,11.577,255,255,255
93,1810.226,255,255,255
94,15.644,255,255,255
95,97.707,255,255,255
96,2.235,255,255,255
97,2.771,255,255,255
98,3.755,255,255,255
99,6.973,255,255,255
100,39.736,255,255,255
101,35.892,255,255,255
102,14.080,255,255,255
103,21.991,255,255,255
104,33.567,255,255,255
105,2.727,255,255,255
106,15.644,255,255,255
107,52.564,255,255,255
108,28.695,255,255,255
109,12.828,255,255,255
110,31.422,255,255,255
111,8.805,255,255,255
112,21.186,255,255,255
113,15.644,255,255,255
114,47.200,255,255,255
115,13.454,255,255,255
116,3.442,255,255,255
117,13.677,255,255,255
118,7.822,255,255,255
119,12.739,255,255,255
120,14.929,255,255,255
121,1225.456,255,255,255
122,103.518,255,255,255
123,29.947,255,255,255
124,6.749,255,255,255
125,16.136,255,255,255
126,380.192,255,255,255
127,50.195,255,255,255
128,4.604,255,255,255
129,8.716,255,255,255
130,23.779,255,255,255
131,46.395,255,255,255
132,5.855,255,255,255
133,68.163,255,255,255
134,24.270,255,255,255
135,13.677,255,255,255
136,16.895,255,255,255
137,11.487,255,255,255
138,24.002,255,255,255
139,39.199,255,255,255
140,9.252,255,255,255
141,112.100,255,255,255
142,111.429,255,255,255
143,3.978,255,255,255
144,289.904,255,255,255
145,8.224,255,255,255
146,9.565,255,255,255
147,208.556,255,255,255
148,340.233,255,255,255
149,5.364,255,255,255
150,60.296,255,255,255
151,13.052,255,255,255
152,3.173,255,255,255
153,6.481,255,255,255
154,377.108,255,255,255
155,87.338,255,255,255
156,216.914,255,255,255
157,58.195,255,255,255
158,4.693,255,255,255
159,510.573,255,255,255
160,6.973,255,255,255
161,11.532,255,255,255
162,7.733,255,255,255
163,1139.280,255,255,255
164,246.146,255,255,255
165,77.013,255,255,255
166,11.353,255,255,255
167,14.661,255,255,255
168,12.381,255,255,255
169,145.578,255,255,255
170,27.489,255,255,255
171,6.570,255,255,255
172,20.114,255,255,255
173,104.546,255,255,255
174,22.706,255,255,255
175,62.844,255,255,255
176,43.133,255,255,255
177,6.705,255,255,255
178,7.375,255,255,255
179,11.398,255,255,255
180,146.114,255,255,255
181,6.794,255,255,255
182,12.068,255,255,255
183,29.455,255,255,255
184,26.326,255,255,255
185,33.836,255,255,255
186,177.447,255,255,255
187,16.225,255,255,255
188,73.303,255,255,255
189,22.170,255,255,255
190,10.191,255,255,255
191,13.677,255,255,255
192,38.976,255,255,255
193,13.320,255,255,255
194,20.918,255,255,255
195,18.058,255,255,255
196,9.431,255,255,255
197,137.398,255,255,255
198,168.865,255,255,255
199,191.035,255,255,255
200,169.580,255,255,255
201,29.366,255,255,255
202,27.891,255,255,255
203,40.227,255,255,255
204,51.089,255,255,255
205,48.764,255,255,255
206,38.037,255,255,255
207,29.679,255,255,255
208,18.683,255,255,255
209,19.130,255,255,255
210,9.297,255,255,255
211,20.114,255,255,255
212,13.007,255,255,255
213,23.242,255,255,255
214,25.835,255,255,255
215,20.382,255,255,255
216,11.040,255,255,255
217,7.956,255,255,255
218,5.095,255,255,255
219,8.716,255,255,255
220,14.392,255,255,255
221,11.398,255,255,255
222,16.717,255,255,255
223,7.911,255,255,255
224,7.733,255,255,255
225,7.554,255,255,255
226,7.688,255,255,255
227,15.599,255,255,255
228,6.079,255,255,255
229,6.258,255,255,255
230,3.442,255,255,255
231,4.425,255,255,255
232,3.442,255,255,255
233,363.520,255,255,255
234,164.529,255,255,255
235,58.776,255,255,255
236,25.880,255,255,255
237,22.751,255,255,255
238,27.042,255,255,255
239,28.427,255,255,255
240,29.321,255,255,255
241,23.376,255,255,255
242,18.102,255,255,255
243,24.092,255,255,255
244,18.460,255,255,255
245,10.191,255,255,255
246,18.773,255,255,255
247,11.666,255,255,255
248,15.152,255,255,255
249,5.989,255,255,255
