 ,Area,Mean,Min,Max
1,689.841,255,255,255
2,27.276,255,255,255
3,48.105,255,255,255
4,32.236,255,255,255
5,38.683,255,255,255
6,21.821,255,255,255
7,26.284,255,255,255
8,47.609,255,255,255
9,65.463,255,255,255
10,42.154,255,255,255
11,36.203,255,255,255
12,49.593,255,255,255
13,68.439,255,255,255
14,33.723,255,255,255
15,56.536,255,255,255
16,39.675,255,255,255
17,63.479,255,255,255
18,49.593,255,255,255
19,56.040,255,255,255
20,58.520,255,255,255
21,53.561,255,255,255
22,56.040,255,255,255
23,130.430,255,255,255
24,62.487,255,255,255
25,70.422,255,255,255
26,41.658,255,255,255
27,84.308,255,255,255
28,72.902,255,255,255
29,55.048,255,255,255
30,126.463,255,255,255
31,48.105,255,255,255
32,70.422,255,255,255
33,122.991,255,255,255
34,31.740,255,255,255
35,110.593,255,255,255
36,132.414,255,255,255
37,63.975,255,255,255
38,172.584,255,255,255
39,152.251,255,255,255
40,127.454,255,255,255
41,103.154,255,255,255
42,121.999,255,255,255
43,129.934,255,255,255
44,112.577,255,255,255
45,72.902,255,255,255
46,227.137,255,255,255
47,279.210,255,255,255
48,127.950,255,255,255
49,197.877,255,255,255
50,217.714,255,255,255
51,155.723,255,255,255
52,154.235,255,255,255
53,171.096,255,255,255
54,217.218,255,255,255
55,163.162,255,255,255
56,331.778,255,255,255
57,123.487,255,255,255
58,468.160,255,255,255
59,221.186,255,255,255
60,286.649,255,255,255
61,242.511,255,255,255
62,23.805,255,255,255
63,678.435,255,255,255
64,21.821,255,255,255
65,19.837,255,255,255
66,304.006,255,255,255
67,20.829,255,255,255
68,37.195,255,255,255
69,927.888,255,255,255
70,50.089,255,255,255
71,840.604,255,255,255
72,26.780,255,255,255
73,40.170,255,255,255
74,1317.691,255,255,255
75,32.236,255,255,255
76,29.260,255,255,255
77,56.536,255,255,255
78,49.097,255,255,255
79,43.642,255,255,255
80,64.471,255,255,255
81,36.203,255,255,255
82,144.316,255,255,255
83,76.869,255,255,255
84,57.032,255,255,255
85,149.275,255,255,255
86,43.146,255,255,255
87,104.146,255,255,255
88,89.764,255,255,255
89,112.577,255,255,255
90,132.414,255,255,255
91,246.974,255,255,255
92,116.048,255,255,255
93,90.756,255,255,255
94,195.397,255,255,255
95,279.210,255,255,255
96,358.559,255,255,255
97,206.804,255,255,255
98,304.998,255,255,255
