 ,Area,Mean,Min,Max
1,141.223,255,255,255
2,5.210,255,255,255
3,31.399,255,255,255
4,40.304,255,255,255
5,7.498,255,255,255
6,24.570,255,255,255
7,14.890,255,255,255
8,44.423,255,255,255
9,8.096,255,255,255
10,4.822,255,255,255
11,5.034,255,255,255
12,140.097,255,255,255
13,3.872,255,255,255
14,9.363,255,255,255
15,6.547,255,255,255
16,5.702,255,255,255
17,4.435,255,255,255
18,92.717,255,255,255
19,7.850,255,255,255
20,39.459,255,255,255
21,230.984,255,255,255
22,2.323,255,255,255
23,141.153,255,255,255
24,21.191,255,255,255
25,16.298,255,255,255
26,36.890,255,255,255
27,49.245,255,255,255
28,69.274,255,255,255
29,26.893,255,255,255
30,7.498,255,255,255
31,77.863,255,255,255
32,3.203,255,255,255
33,3.731,255,255,255
34,11.334,255,255,255
35,28.477,255,255,255
36,9.926,255,255,255
37,308.072,255,255,255
38,5.843,255,255,255
39,19.466,255,255,255
40,19.501,255,255,255
41,963.994,255,255,255
42,2.886,255,255,255
43,4.365,255,255,255
44,61.213,255,255,255
45,224.789,255,255,255
46,8.659,255,255,255
47,40.903,255,255,255
48,15.770,255,255,255
49,2.922,255,255,255
50,54.525,255,255,255
51,2.922,255,255,255
52,4.963,255,255,255
53,26.259,255,255,255
54,20.311,255,255,255
55,45.831,255,255,255
56,3.661,255,255,255
57,45.901,255,255,255
58,66.704,255,255,255
59,169.841,255,255,255
60,38.263,255,255,255
61,111.761,255,255,255
62,7.814,255,255,255
63,745.119,255,255,255
64,5.562,255,255,255
65,14.890,255,255,255
66,4.576,255,255,255
67,12.355,255,255,255
68,7.322,255,255,255
69,6.406,255,255,255
70,8.730,255,255,255
71,162.555,255,255,255
72,12.038,255,255,255
73,11.933,255,255,255
74,3.942,255,255,255
75,47.450,255,255,255
76,17.671,255,255,255
77,2.429,255,255,255
78,61.002,255,255,255
79,8.166,255,255,255
80,5.702,255,255,255
81,6.371,255,255,255
82,7.709,255,255,255
83,256.328,255,255,255
84,3.907,255,255,255
85,5.597,255,255,255
86,347.039,255,255,255
87,28.090,255,255,255
88,3.766,255,255,255
89,32.947,255,255,255
90,83.565,255,255,255
91,37.840,255,255,255
92,3.837,255,255,255
93,9.926,255,255,255
94,2.147,255,255,255
95,13.728,255,255,255
96,4.717,255,255,255
97,8.659,255,255,255
98,4.576,255,255,255
99,2.288,255,255,255
100,4.611,255,255,255
101,17.811,255,255,255
102,43.895,255,255,255
103,2.218,255,255,255
104,72.407,255,255,255
105,3.555,255,255,255
106,2.534,255,255,255
107,3.344,255,255,255
108,24.816,255,255,255
109,1.760,255,255,255
110,26.506,255,255,255
111,3.661,255,255,255
112,40.727,255,255,255
113,9.328,255,255,255
114,56.391,255,255,255
115,2.499,255,255,255
116,296.140,255,255,255
117,15.770,255,255,255
118,4.576,255,255,255
119,10.419,255,255,255
120,13.235,255,255,255
121,5.245,255,255,255
122,10.314,255,255,255
123,5.280,255,255,255
124,158.964,255,255,255
125,2.323,255,255,255
126,1.549,255,255,255
127,37.840,255,255,255
128,5.386,255,255,255
129,10.173,255,255,255
130,73.181,255,255,255
131,35.693,255,255,255
132,4.893,255,255,255
133,2.851,255,255,255
134,57.236,255,255,255
135,6.618,255,255,255
136,4.224,255,255,255
137,12.179,255,255,255
138,36.362,255,255,255
139,2.640,255,255,255
140,3.344,255,255,255
141,14.995,255,255,255
142,6.160,255,255,255
143,61.988,255,255,255
144,6.336,255,255,255
145,7.216,255,255,255
146,20.064,255,255,255
147,3.802,255,255,255
148,6.019,255,255,255
149,4.435,255,255,255
150,5.069,255,255,255
151,2.464,255,255,255
152,3.098,255,255,255
153,2.253,255,255,255
154,7.779,255,255,255
155,1.126,255,255,255
156,4.365,255,255,255
157,11.827,255,255,255
158,17.248,255,255,255
159,3.450,255,255,255
160,64.487,255,255,255
161,6.618,255,255,255
162,11.158,255,255,255
163,4.259,255,255,255
164,4.646,255,255,255
165,4.787,255,255,255
166,2.816,255,255,255
167,14.643,255,255,255
168,79.517,255,255,255
169,13.904,255,255,255
170,2.781,255,255,255
171,3.379,255,255,255
172,4.963,255,255,255
173,24.218,255,255,255
174,123.271,255,255,255
175,2.640,255,255,255
176,14.925,255,255,255
177,21.578,255,255,255
178,1.901,255,255,255
179,4.822,255,255,255
180,3.837,255,255,255
181,92.788,255,255,255
182,2.746,255,255,255
183,6.301,255,255,255
184,4.013,255,255,255
185,2.077,255,255,255
186,5.597,255,255,255
187,52.237,255,255,255
188,3.485,255,255,255
189,5.949,255,255,255
190,6.934,255,255,255
191,22.352,255,255,255
192,220.705,255,255,255
193,3.414,255,255,255
194,7.005,255,255,255
195,4.294,255,255,255
196,26.752,255,255,255
197,3.907,255,255,255
198,10.560,255,255,255
199,2.851,255,255,255
200,3.344,255,255,255
201,3.978,255,255,255
202,132.634,255,255,255
203,4.576,255,255,255
204,2.182,255,255,255
205,2.922,255,255,255
206,12.848,255,255,255
207,278.223,255,255,255
208,7.286,255,255,255
209,3.344,255,255,255
210,41.255,255,255,255
211,8.730,255,255,255
212,2.464,255,255,255
213,1.936,255,255,255
214,2.640,255,255,255
215,10.243,255,255,255
216,7.744,255,255,255
217,2.218,255,255,255
218,3.485,255,255,255
219,2.394,255,255,255
220,6.723,255,255,255
221,3.309,255,255,255
222,2.710,255,255,255
223,7.638,255,255,255
224,9.152,255,255,255
225,6.195,255,255,255
226,42.698,255,255,255
227,6.160,255,255,255
228,67.444,255,255,255
229,18.727,255,255,255
230,92.506,255,255,255
231,2.957,255,255,255
232,2.640,255,255,255
233,2.077,255,255,255
234,2.112,255,255,255
235,1.584,255,255,255
236,123.412,255,255,255
237,4.506,255,255,255
238,1.197,255,255,255
239,3.098,255,255,255
240,3.203,255,255,255
241,7.814,255,255,255
242,1.690,255,255,255
243,18.093,255,255,255
244,4.259,255,255,255
245,12.531,255,255,255
246,30.765,255,255,255
247,64.205,255,255,255
248,2.112,255,255,255
249,12.355,255,255,255
250,2.781,255,255,255
251,3.661,255,255,255
252,2.288,255,255,255
253,20.029,255,255,255
254,5.526,255,255,255
255,48.436,255,255,255
256,1.443,255,255,255
257,2.147,255,255,255
258,14.291,255,255,255
259,25.133,255,255,255
260,46.253,255,255,255
261,2.746,255,255,255
262,5.245,255,255,255
263,5.808,255,255,255
264,17.107,255,255,255
265,4.365,255,255,255
266,4.717,255,255,255
267,18.903,255,255,255
268,21.155,255,255,255
269,13.446,255,255,255
270,3.274,255,255,255
271,22.035,255,255,255
272,8.026,255,255,255
273,11.933,255,255,255
274,10.982,255,255,255
275,5.597,255,255,255
276,5.702,255,255,255
277,6.794,255,255,255
278,17.671,255,255,255
279,13.622,255,255,255
280,58.432,255,255,255
281,3.766,255,255,255
282,51.287,255,255,255
283,10.701,255,255,255
284,1162.769,255,255,255
285,12.426,255,255,255
286,6.054,255,255,255
287,2.746,255,255,255
288,9.398,255,255,255
289,13.200,255,255,255
290,3.062,255,255,255
291,5.597,255,255,255
292,28.512,255,255,255
293,22.669,255,255,255
294,1.901,255,255,255
295,13.904,255,255,255
296,1.901,255,255,255
297,7.146,255,255,255
298,2.006,255,255,255
299,6.019,255,255,255
300,3.766,255,255,255
301,4.506,255,255,255
302,24.253,255,255,255
303,7.568,255,255,255
304,5.386,255,255,255
305,61.037,255,255,255
306,5.808,255,255,255
307,41.431,255,255,255
308,142.807,255,255,255
309,9.539,255,255,255
310,14.502,255,255,255
311,4.963,255,255,255
312,21.507,255,255,255
313,4.365,255,255,255
314,1.584,255,255,255
315,184.027,255,255,255
316,4.717,255,255,255
317,2.394,255,255,255
318,6.512,255,255,255
319,15.066,255,255,255
320,9.715,255,255,255
321,2.675,255,255,255
322,12.531,255,255,255
323,1708.584,255,255,255
324,7.427,255,255,255
325,4.294,255,255,255
326,50.266,255,255,255
327,2.570,255,255,255
328,3.555,255,255,255
329,10.102,255,255,255
330,2.992,255,255,255
331,1198.005,255,255,255
332,11.722,255,255,255
333,24.359,255,255,255
334,1.866,255,255,255
335,4.682,255,255,255
336,471.155,255,255,255
337,9.222,255,255,255
338,5.808,255,255,255
339,6.864,255,255,255
