 ,Area,Mean,Min,Max
1,6.365,255,255,255
2,0.941,255,255,255
3,1.983,255,255,255
4,2.262,255,255,255
5,1.608,255,255,255
6,1.256,255,255,255
7,1.506,255,255,255
8,1.125,255,255,255
9,2.453,255,255,255
10,1.881,255,255,255
11,1.869,255,255,255
12,3.054,255,255,255
13,1.435,255,255,255
14,2.727,255,255,255
15,1.119,255,255,255
16,1.738,255,255,255
17,1.256,255,255,255
18,2.768,255,255,255
19,4.346,255,255,255
20,8.484,255,255,255
21,2.483,255,255,255
22,2.054,255,255,255
23,2.286,255,255,255
24,39.521,255,255,255
25,3.310,255,255,255
26,2.304,255,255,255
27,2.828,255,255,255
28,1.357,255,255,255
29,2.465,255,255,255
30,2.125,255,255,255
31,2.251,255,255,255
32,3.406,255,255,255
33,0.822,255,255,255
34,59.972,255,255,255
35,0.947,255,255,255
36,1.447,255,255,255
37,1.316,255,255,255
38,1.066,255,255,255
39,3.251,255,255,255
40,1.733,255,255,255
41,2.477,255,255,255
42,1.417,255,255,255
43,1.375,255,255,255
44,1.340,255,255,255
45,1.334,255,255,255
46,1.518,255,255,255
47,6.644,255,255,255
48,11.074,255,255,255
49,3.929,255,255,255
50,1.447,255,255,255
51,3.614,255,255,255
52,65.431,255,255,255
53,3.531,255,255,255
54,2.751,255,255,255
55,2.084,255,255,255
56,1.631,255,255,255
57,3.965,255,255,255
58,3.114,255,255,255
59,0.988,255,255,255
60,3.471,255,255,255
61,1.209,255,255,255
62,2.733,255,255,255
63,4.459,255,255,255
64,2.090,255,255,255
65,3.346,255,255,255
66,1.477,255,255,255
67,5.674,255,255,255
68,17.974,255,255,255
69,0.834,255,255,255
70,1.673,255,255,255
71,20.761,255,255,255
72,1.107,255,255,255
73,3.215,255,255,255
74,6.978,255,255,255
75,1.602,255,255,255
76,3.191,255,255,255
77,1.465,255,255,255
78,1.619,255,255,255
79,1.268,255,255,255
80,6.061,255,255,255
81,2.078,255,255,255
82,1.721,255,255,255
83,2.566,255,255,255
84,0.917,255,255,255
85,1.357,255,255,255
86,2.411,255,255,255
87,120.777,255,255,255
88,2.215,255,255,255
89,1.369,255,255,255
90,3.340,255,255,255
91,2.364,255,255,255
92,5.210,255,255,255
93,0.655,255,255,255
94,0.750,255,255,255
95,1.036,255,255,255
96,2.233,255,255,255
97,3.316,255,255,255
98,1.036,255,255,255
99,0.625,255,255,255
100,2.030,255,255,255
101,2.578,255,255,255
102,2.108,255,255,255
103,1.018,255,255,255
104,5.918,255,255,255
105,1.810,255,255,255
106,0.732,255,255,255
107,2.507,255,255,255
108,4.096,255,255,255
109,1.780,255,255,255
110,2.858,255,255,255
111,11.574,255,255,255
112,2.983,255,255,255
113,1.566,255,255,255
114,2.155,255,255,255
115,2.888,255,255,255
116,2.757,255,255,255
117,1.893,255,255,255
118,1.506,255,255,255
119,1.036,255,255,255
120,1.917,255,255,255
121,5.555,255,255,255
122,1.983,255,255,255
123,1.423,255,255,255
124,1.643,255,255,255
125,1.161,255,255,255
126,1.727,255,255,255
127,1.340,255,255,255
128,1.298,255,255,255
129,1.733,255,255,255
130,1.161,255,255,255
131,2.066,255,255,255
132,52.673,255,255,255
133,3.971,255,255,255
134,2.393,255,255,255
135,3.019,255,255,255
136,5.936,255,255,255
137,1.804,255,255,255
138,1.637,255,255,255
139,1.733,255,255,255
140,1.304,255,255,255
141,1.917,255,255,255
142,2.280,255,255,255
143,3.269,255,255,255
144,1.149,255,255,255
145,1.810,255,255,255
146,2.215,255,255,255
147,1.697,255,255,255
148,4.412,255,255,255
149,0.834,255,255,255
150,279.789,255,255,255
151,1.131,255,255,255
152,1.685,255,255,255
153,3.346,255,255,255
154,2.608,255,255,255
155,14.468,255,255,255
156,1.286,255,255,255
157,1.685,255,255,255
158,1.983,255,255,255
159,1.238,255,255,255
160,1.762,255,255,255
161,2.125,255,255,255
162,1.780,255,255,255
163,1.536,255,255,255
164,2.370,255,255,255
165,2.030,255,255,255
166,2.995,255,255,255
167,1.572,255,255,255
168,1.441,255,255,255
169,1.423,255,255,255
170,4.043,255,255,255
171,2.358,255,255,255
172,5.084,255,255,255
173,0.822,255,255,255
174,1.852,255,255,255
175,2.131,255,255,255
176,1.387,255,255,255
177,1.887,255,255,255
178,3.382,255,255,255
179,1.119,255,255,255
180,1.262,255,255,255
181,1.250,255,255,255
182,1.066,255,255,255
183,2.173,255,255,255
184,3.638,255,255,255
185,1.363,255,255,255
186,2.364,255,255,255
187,2.774,255,255,255
188,1.494,255,255,255
189,2.602,255,255,255
190,1.155,255,255,255
191,0.851,255,255,255
192,1.179,255,255,255
193,1.804,255,255,255
194,2.858,255,255,255
195,3.400,255,255,255
196,1.953,255,255,255
197,2.483,255,255,255
198,1.875,255,255,255
199,3.292,255,255,255
200,1.834,255,255,255
201,17.581,255,255,255
202,2.423,255,255,255
203,25.089,255,255,255
204,1.917,255,255,255
205,2.256,255,255,255
206,60.782,255,255,255
207,1.459,255,255,255
208,43.426,255,255,255
209,2.078,255,255,255
210,1.899,255,255,255
211,3.203,255,255,255
212,1.381,255,255,255
213,2.155,255,255,255
214,2.340,255,255,255
215,1.477,255,255,255
216,2.000,255,255,255
217,1.107,255,255,255
218,3.167,255,255,255
219,1.864,255,255,255
220,3.929,255,255,255
221,2.251,255,255,255
222,17.569,255,255,255
223,1.578,255,255,255
224,2.405,255,255,255
225,6.019,255,255,255
226,1.173,255,255,255
227,1.655,255,255,255
228,4.900,255,255,255
229,3.656,255,255,255
230,0.006,255,255,255
231,3.048,255,255,255
232,2.304,255,255,255
233,2.346,255,255,255
234,2.161,255,255,255
235,1.095,255,255,255
236,3.126,255,255,255
237,23.362,255,255,255
238,4.465,255,255,255
239,13.193,255,255,255
240,2.453,255,255,255
241,3.019,255,255,255
242,2.947,255,255,255
243,2.262,255,255,255
244,4.495,255,255,255
245,5.352,255,255,255
246,0.893,255,255,255
247,0.923,255,255,255
248,1.893,255,255,255
249,0.923,255,255,255
250,3.310,255,255,255
251,2.899,255,255,255
252,4.150,255,255,255
253,1.173,255,255,255
254,1.310,255,255,255
255,2.370,255,255,255
256,2.768,255,255,255
257,12.360,255,255,255
258,1.637,255,255,255
259,1.840,255,255,255
260,2.233,255,255,255
261,1.477,255,255,255
262,2.256,255,255,255
263,5.037,255,255,255
264,1.078,255,255,255
265,5.162,255,255,255
266,1.238,255,255,255
267,4.037,255,255,255
268,11.788,255,255,255
269,1.673,255,255,255
270,7.127,255,255,255
